game_type,option1,text1,answer,know_more,num1,difficulty,operation,option2,option4,hint,image_url,num2,option3,topic
money-master,69¢,,69¢,Total is 69¢.,Count Coins,Medium,count,68¢,59¢,Sum the values.,dynamic:coins:quarter:2:nickel:3:penny:4,,79¢,
money-master,45¢,,44¢,Total is 44¢.,Count Coins,Easy,count,49¢,54¢,Sum the values.,dynamic:coins:quarter:1:dime:1:nickel:1:penny:4,,44¢,
money-master,22¢,,21¢,Total is 21¢.,Count Coins,Easy,count,21¢,20¢,Sum the values.,dynamic:coins:dime:1:nickel:2:penny:1,,11¢,
money-master,51¢,,56¢,Total is 56¢.,Count Coins,Medium,count,55¢,56¢,Sum the values.,dynamic:coins:quarter:1:dime:1:nickel:4:penny:1,,66¢,
money-master,76¢,,86¢,Total is 86¢.,Count Coins,Medium,count,91¢,86¢,Sum the values.,dynamic:coins:quarter:2:dime:3:nickel:1:penny:1,,87¢,
money-master,42¢,,43¢,Total is 43¢.,Count Coins,Easy,count,33¢,53¢,Sum the values.,dynamic:coins:quarter:1:dime:1:nickel:1:penny:3,,43¢,
money-master,48¢,,43¢,Total is 43¢.,Count Coins,Easy,count,44¢,53¢,Sum the values.,dynamic:coins:dime:4:penny:3,,43¢,
money-master,46¢,,41¢,Total is 41¢.,Count Coins,Easy,count,41¢,31¢,Sum the values.,dynamic:coins:dime:3:nickel:2:penny:1,,40¢,
money-master,95¢,,94¢,Total is 94¢.,Count Coins,Medium,count,84¢,94¢,Sum the values.,dynamic:coins:quarter:3:nickel:3:penny:4,,104¢,
money-master,123¢,,122¢,Total is 122¢.,Count Coins,Medium,count,122¢,127¢,Sum the values.,dynamic:coins:quarter:3:dime:4:nickel:1:penny:2,,112¢,
money-master,25¢,,30¢,Total is 30¢.,Count Coins,Easy,count,31¢,30¢,Sum the values.,dynamic:coins:dime:1:nickel:4,,20¢,
money-master,83¢,,83¢,Total is 83¢.,Count Coins,Medium,count,78¢,93¢,Sum the values.,dynamic:coins:quarter:1:dime:4:nickel:3:penny:3,,88¢,
money-master,61¢,,61¢,Total is 61¢.,Count Coins,Medium,count,60¢,66¢,Sum the values.,dynamic:coins:dime:4:nickel:4:penny:1,,62¢,
money-master,73¢,,78¢,Total is 78¢.,Count Coins,Medium,count,83¢,78¢,Sum the values.,dynamic:coins:quarter:1:dime:4:nickel:2:penny:3,,77¢,
money-master,60¢,Paid: $1.00,60¢,Change is 60¢.,Price: 40¢,Hard,change,65¢,70¢,100 - 40,,change,55¢,
money-master,55¢,Paid: $1.00,55¢,Change is 55¢.,Price: 45¢,Hard,change,60¢,65¢,100 - 45,,change,50¢,
money-master,30¢,Paid: $1.00,30¢,Change is 30¢.,Price: 70¢,Hard,change,35¢,40¢,100 - 70,,change,25¢,
money-master,55¢,Paid: $1.00,55¢,Change is 55¢.,Price: 45¢,Hard,change,60¢,65¢,100 - 45,,change,50¢,
money-master,5¢,Paid: $1.00,5¢,Change is 5¢.,Price: 95¢,Hard,change,10¢,15¢,100 - 95,,change,0¢,
money-master,5¢,Paid: $1.00,5¢,Change is 5¢.,Price: 95¢,Hard,change,10¢,15¢,100 - 95,,change,0¢,
money-master,15¢,Paid: $1.00,15¢,Change is 15¢.,Price: 85¢,Hard,change,20¢,25¢,100 - 85,,change,10¢,
money-master,25¢,Paid: $1.00,25¢,Change is 25¢.,Price: 75¢,Hard,change,30¢,35¢,100 - 75,,change,20¢,
money-master,75¢,Paid: $1.00,75¢,Change is 75¢.,Price: 25¢,Hard,change,80¢,85¢,100 - 25,,change,70¢,
money-master,10¢,Paid: $1.00,10¢,Change is 10¢.,Price: 90¢,Hard,change,15¢,20¢,100 - 90,,change,5¢,
money-master,45¢,Paid: $1.00,45¢,Change is 45¢.,Price: 55¢,Hard,change,50¢,55¢,100 - 55,,change,40¢,
money-master,15¢,Paid: $1.00,15¢,Change is 15¢.,Price: 85¢,Hard,change,20¢,25¢,100 - 85,,change,10¢,
money-master,30¢,Paid: $1.00,30¢,Change is 30¢.,Price: 70¢,Hard,change,35¢,40¢,100 - 70,,change,25¢,
money-master,70¢,Paid: $1.00,70¢,Change is 70¢.,Price: 30¢,Hard,change,75¢,80¢,100 - 30,,change,65¢,
money-master,5¢,Paid: $1.00,5¢,Change is 5¢.,Price: 95¢,Hard,change,10¢,15¢,100 - 95,,change,0¢,
money-master,55¢,Paid: $1.00,55¢,Change is 55¢.,Price: 45¢,Hard,change,60¢,65¢,100 - 45,,change,50¢,
money-master,40¢,Paid: $1.00,40¢,Change is 40¢.,Price: 60¢,Hard,change,45¢,50¢,100 - 60,,change,35¢,
money-master,30¢,Paid: $1.00,30¢,Change is 30¢.,Price: 70¢,Hard,change,35¢,40¢,100 - 70,,change,25¢,
money-master,15¢,Paid: $1.00,15¢,Change is 15¢.,Price: 85¢,Hard,change,20¢,25¢,100 - 85,,change,10¢,
money-master,25¢,Paid: $1.00,25¢,Change is 25¢.,Price: 75¢,Hard,change,30¢,35¢,100 - 75,,change,20¢,
