game_type,difficulty,text1,text2,answer,option1,option2,option3,option4,hint,know_more,grade,skill,cognitive_demand
analogy-arena,Medium,Seed is to plant as egg is to _____.,Development,bird,feather,tree,bird,nest,Ask what can grow or hatch from the first thing.,A seed can grow into a plant; an egg can hatch into a bird.,Grade 4,Verbal Reasoning,2-step
analogy-arena,Medium,Glove is to hand as sock is to _____.,Object-to-body-part,foot,neck,foot,head,arm,Where is each item worn?,A glove is worn on a hand; a sock is worn on a foot.,Grade 4,Verbal Reasoning,2-step
analogy-arena,Medium,Minute is to hour as centimetre is to _____.,Small unit to larger unit,metre,metre,litre,gram,second,Match a smaller unit with a larger unit of the same kind.,Minutes make hours; centimetres make metres.,Grade 4,Verbal Reasoning,2-step
analogy-arena,Medium,Author is to book as artist is to _____.,Creator-to-work,painting,museum,brush,frame,painting,What does each creator produce?,An author creates a book; an artist can create a painting.,Grade 4,Verbal Reasoning,2-step
analogy-arena,Medium,Rain is to umbrella as bright sun is to _____.,Protection,sunglasses,scarf,gloves,sunglasses,boots,Choose what protects you in the second condition.,An umbrella protects from rain; sunglasses protect eyes from bright sun.,Grade 4,Verbal Reasoning,2-step
analogy-arena,Medium,Question is to answer as problem is to _____.,Response relationship,solution,mistake,solution,story,number,What completes or resolves each first word?,A question calls for an answer; a problem calls for a solution.,Grade 4,Verbal Reasoning,2-step
analogy-arena,Medium,Library is to books as zoo is to _____.,Place-to-contents,animals,animals,trains,tools,plants,What is mainly found in each place?,Libraries contain books; zoos contain animals.,Grade 4,Verbal Reasoning,2-step
analogy-arena,Medium,Triangle is to 3 as pentagon is to _____.,Shape-to-sides,5,4,6,8,5,Count the sides of each shape.,A triangle has 3 sides; a pentagon has 5 sides.,Grade 4,Verbal Reasoning,2-step
analogy-arena,Medium,January is to year as Monday is to _____.,Part-to-cycle,week,day,hour,week,month,Each first word is one member of a larger cycle.,January is part of a year; Monday is part of a week.,Grade 4,Verbal Reasoning,2-step
analogy-arena,Medium,Whisper is to quiet as shout is to _____.,Action-to-quality,loud,dark,loud,slow,soft,Describe how the action sounds.,A whisper is quiet; a shout is loud.,Grade 4,Verbal Reasoning,2-step
analogy-arena,Hard,3 is to 9 as 4 is to _____.,Rule analogy,16,16,8,12,20,Find the same number rule in both pairs.,3 becomes 9 by squaring: 3×3. So 4 becomes 4×4 = 16.,Grade 4,Verbal Reasoning,3-step
analogy-arena,Hard,ABC is to BCD as MNO is to _____.,Letter shift,NOP,LMN,OPQ,MNP,NOP,Check how every letter changes.,"Each letter moves forward by one: A→B, B→C, C→D; MNO→NOP.",Grade 4,Verbal Reasoning,3-step
analogy-arena,Hard,"2, 4 is to 6 as 3, 5 is to _____.",Pair operation,8,10,15,8,7,Use the same operation on each pair.,"2 + 4 = 6. Applying the same addition rule, 3 + 5 = 8.",Grade 4,Verbal Reasoning,3-step
analogy-arena,Hard,Square is to cube as 2-D is to _____.,Dimension relationship,3-D,flat,3-D,1-D,4-D,A cube is the solid counterpart of a square.,A square is two-dimensional; a cube is three-dimensional.,Grade 4,Verbal Reasoning,3-step
analogy-arena,Hard,Foot is to shoe as hand is to glove; head is to _____.,Parallel clothing relation,hat,hat,belt,sock,watch,Continue the body-part-to-clothing pattern.,"A shoe covers a foot, a glove covers a hand, and a hat covers the head.",Grade 4,Verbal Reasoning,3-step
analogy-arena,Hard,North is to south as east is to _____.,Direction opposites,west,north,south,right,west,Use opposite compass directions.,North is opposite south; east is opposite west.,Grade 4,Verbal Reasoning,3-step
analogy-arena,Hard,8 is to 4 as 14 is to _____.,Halving rule,7,8,28,7,6,What happened from 8 to 4?,"The number is halved: 8÷2=4, so 14÷2=7.",Grade 4,Verbal Reasoning,3-step
analogy-arena,Hard,READ is to DAER as STOP is to _____.,Reversal,POTS,POST,POTS,TOPS,SPOT,Notice the order of letters.,READ is reversed to DAER; STOP reversed is POTS.,Grade 4,Verbal Reasoning,3-step
analogy-arena,Hard,Cat : kitten :: goat : kid :: horse : _____.,Young animal chain,foal,foal,calf,cub,chick,Use the special name for the young animal.,"A young cat is a kitten, a young goat is a kid, and a young horse is a foal.",Grade 4,Verbal Reasoning,3-step
analogy-arena,Hard,Clock : time :: thermometer : temperature :: ruler : _____.,Instrument measurement,length,weight,speed,sound,length,What does each instrument measure?,"A clock measures time, a thermometer measures temperature, and a ruler measures length.",Grade 4,Verbal Reasoning,3-step
