game_type,difficulty,text1,text2,answer,option1,option2,option3,option4,hint,know_more,grade,skill,cognitive_demand
sequence-story,Medium,"To make a sandwich, Ella placed bread on a plate, added cheese, and added tomato. Which step should come next?",Process order,place the second slice of bread on top,put the cheese back into an unopened packet,eat the tomato before making the sandwich,place the second slice of bread on top,wash the plate before getting bread,Complete the construction.,"After filling the sandwich, the second slice closes it.",Grade 4,Sequencing,2-step
sequence-story,Medium,"A science group wrote a question, made a prediction, then carried out a fair test. What should come next?",Investigation sequence,record the results,skip straight to a new experiment,record the results,change the question after seeing results,hide the observations,What do scientists do after testing?,"After the test, observations and results should be recorded before conclusions.",Grade 4,Sequencing,2-step
sequence-story,Medium,"A parcel was packed, labelled with an address, and taken to the post office. What happens next in the process?",Delivery sequence,the parcel is sorted for delivery,the parcel is sorted for delivery,the address is forgotten on purpose,the parcel returns before being sent,the box becomes a letter,Think of what the postal service does after receiving a parcel.,Postal items are sorted and routed toward their destination.,Grade 4,Sequencing,2-step
sequence-story,Medium,"Jia mixed cake batter, poured it into a tin, and placed the tin in a preheated oven. What comes next?",Cooking sequence,bake it for the required time,add raw flour after baking,put the oven in the fridge,serve the batter before cooking,bake it for the required time,The cake is now in the oven.,The next stage is baking for the required time before cooling or serving.,Grade 4,Sequencing,2-step
sequence-story,Medium,"Omar found a library book, checked its call number, and walked to the matching shelf. What should he do next?",Information sequence,look along the shelf for that call number,change the book's title,hide the shelf label,look along the shelf for that call number,return to the entrance without looking,Use the call number to locate the book.,"At the correct shelf, he should scan the call numbers to find the exact book.",Grade 4,Sequencing,2-step
sequence-story,Medium,"The class collected survey answers, counted each response, and made a tally table. What should come next?",Data sequence,display or interpret the results,change the question so the data no longer fits,display or interpret the results,ask the same people to forget answers,erase all tallies,"After organizing data, what is useful?","Once tallied, the data can be graphed, compared, or interpreted.",Grade 4,Sequencing,2-step
sequence-story,Medium,"A cyclist checked the brakes, put on a helmet, and looked for traffic. What should happen next?",Safety sequence,begin riding when the way is safe,begin riding when the way is safe,remove the helmet,close eyes and ride,ignore the road,All safety checks are complete.,"When the route is safe, the cyclist can start riding.",Grade 4,Sequencing,2-step
sequence-story,Medium,"Lena read the instructions, gathered the materials, and completed the model. What should she do next?",Task sequence,compare the model with the instructions,throw away the instructions before checking,start a different task without finishing,remove random parts,compare the model with the instructions,Good finishing work includes checking.,Comparing the finished model with the instructions verifies that all steps were followed.,Grade 4,Sequencing,2-step
sequence-story,Medium,"A class election was announced, candidates gave short speeches, and students voted. What happens next?",Civic sequence,the votes are counted,all ballots are erased,candidates give speeches after the result only,the votes are counted,the winner is chosen before counting,Voting is followed by tallying.,The votes must be counted before a result is announced.,Grade 4,Sequencing,2-step
sequence-story,Medium,"Ben saw dark clouds, heard thunder, and went indoors. What should he do next?",Safety sequence,stay inside until the storm has passed,hold a metal pole,stay inside until the storm has passed,stand under a tall tree,swim outside,Continue the safe storm response.,"After going indoors during thunder, staying inside until conditions are safe is recommended.",Grade 4,Sequencing,2-step
sequence-story,Hard,"Four steps for a simple investigation are mixed: P record results, Q make a prediction, R ask a question, S carry out the test. Which order is best?",Reorder process,"R, Q, S, P","R, Q, S, P","Q, R, P, S","S, P, R, Q","P, S, Q, R","Start with the question, then predict, test, and record.",A sensible investigation order is ask a question → predict → test → record results.,Grade 4,Sequencing,3-step
sequence-story,Hard,A recipe says: wash vegetables before cutting; cut before cooking; cook before serving. Which sequence follows all rules?,Constraint sequencing,wash → cut → cook → serve,cut → wash → cook → serve,wash → cook → cut → serve,serve → wash → cut → cook,wash → cut → cook → serve,Every 'before' statement must be satisfied.,"The only order satisfying all three constraints is wash, cut, cook, serve.",Grade 4,Sequencing,3-step
sequence-story,Hard,"A school trip plan requires permission before payment, payment before booking, and booking before travel. What must happen second?",Dependency sequence,payment,permission,booking,payment,travel,Build the chain from all 'before' rules.,"Permission → payment → booking → travel, so payment is second.",Grade 4,Sequencing,3-step
sequence-story,Hard,"A runner must check in before warming up, warm up before racing, and cool down after racing. Which is the complete order?",Constraint sequencing,check in → warm up → race → cool down,check in → race → warm up → cool down,check in → warm up → race → cool down,warm up → check in → cool down → race,race → warm up → check in → cool down,Use each time relationship exactly.,"Check-in comes first, then warm-up, then race, and cool-down follows the race.",Grade 4,Sequencing,3-step
sequence-story,Hard,"A project has four steps: research, outline, write, edit. Research must be before outlining; editing must be last. Which order works?",Project sequencing,research → outline → write → edit,research → outline → write → edit,outline → research → write → edit,research → edit → outline → write,write → outline → research → edit,Keep prerequisites before later work and editing last.,"Research supports the outline, writing follows planning, and editing is the final check.",Grade 4,Sequencing,3-step
sequence-story,Hard,"Mira leaves home, catches a bus, gets off at the library, then walks to school. If the library stop must be after the bus ride but before school, which event is third?",Position in sequence,get off at the library,leave home,catch the bus,walk to school,get off at the library,Number the four events.,"1 leave home, 2 catch bus, 3 get off at library, 4 walk to school.",Grade 4,Sequencing,3-step
sequence-story,Hard,"For a seed experiment: label pots, plant equal seeds, give different amounts of water, measure growth. Why must measuring come after watering?",Reason about sequence,growth can only be compared after the treatment has occurred,measurement changes the seed type,water can only be added after measuring forever,growth can only be compared after the treatment has occurred,labels cause growth,Think about cause before observation.,The different water amounts are the treatment; growth should be measured after plants have experienced that treatment.,Grade 4,Sequencing,3-step
sequence-story,Hard,"A story says: first the alarm rang; before breakfast, I got dressed; after breakfast, I left home. Which order fits?",Temporal inference,alarm → get dressed → breakfast → leave home,get dressed → alarm → breakfast → leave home,alarm → get dressed → breakfast → leave home,breakfast → alarm → leave home → get dressed,alarm → breakfast → leave home → get dressed,Use 'before' and 'after' clues.,The alarm is first; dressing is before breakfast; leaving home is after breakfast.,Grade 4,Sequencing,3-step
sequence-story,Hard,"A robot must pick up a key before opening a door, and open the door before reaching the goal. It may turn on a light at any time. Which action cannot be first?",Partial-order reasoning,open the door,open the door,turn on the light,pick up the key,look around,Which action has a required prerequisite?,"Opening the door requires the key first, so it cannot be the first action.",Grade 4,Sequencing,3-step
sequence-story,Hard,"Steps A, B, C, D obey: A before C, B before D, and C before D. Which sequence is valid?",Constraint sequencing,"A, B, C, D","C, A, B, D","B, D, A, C","D, A, C, B","A, B, C, D",Check every rule against each option.,"A,B,C,D satisfies A before C, B before D, and C before D.",Grade 4,Sequencing,3-step
