game_type,text1,text2,answer,option1,option2,option3,option4,difficulty,category,know_more,hint,image_url,topic
tense-traveler,sleep,present,sleeps,sleeps,slept,will sleep,sleeping,Medium,tenses,Irregular: sleep -> slept,Think about present time.,,Tenses
tense-traveler,keep,past,kept,kept,keeps,keeping,will keep,Medium,tenses,Irregular: keep -> kept,Think about past time.,,Tenses
tense-traveler,sweep,future,will sweep,will sweep,sweeps,willed sweep,swept,Medium,tenses,Irregular: sweep -> swept,Think about future time.,,Tenses
tense-traveler,leave,present,leaves,will leave,leaveing,left,leaves,Medium,tenses,Irregular: leave -> left,Think about present time.,,Tenses
tense-traveler,feel,present,feels,will feel,feeling,feels,felt,Medium,tenses,Irregular: feel -> felt,Think about present time.,,Tenses
tense-traveler,buy,future,will buy,buys,willed buy,buying,bought,Medium,tenses,Irregular: buy -> bought,Think about future time.,,Tenses
tense-traveler,bring,present,brings,brings,will bring,brought,bringing,Medium,tenses,Irregular: bring -> brought,Think about present time.,,Tenses
tense-traveler,fight,present,fights,will fight,fought,fighting,fights,Medium,tenses,Irregular: fight -> fought,Think about present time.,,Tenses
tense-traveler,catch,future,will catch,will catch,willed catch,caught,catches,Medium,tenses,Irregular: catch -> caught,Think about future time.,,Tenses
tense-traveler,teach,future,will teach,willed teach,will teach,teaching,teaches,Medium,tenses,Irregular: teach -> taught,Think about future time.,,Tenses
tense-traveler,lose,present,loses,loses,will lose,lost,loseing,Medium,tenses,Irregular: lose -> lost,Think about present time.,,Tenses
tense-traveler,jump,past,jumped,will jump,jumped,jumping,jumps,Medium,tenses,Regular verb,Think about past time.,,Tenses
tense-traveler,play,past,played,played,will play,plays,playing,Medium,tenses,Regular verb,Think about past time.,,Tenses
tense-traveler,walk,past,walked,walks,will walk,walking,walked,Medium,tenses,Regular verb,Think about past time.,,Tenses
tense-traveler,talk,future,will talk,talking,talked,willed talk,talks,Medium,tenses,Regular verb,Think about future time.,,Tenses
tense-traveler,look,future,will look,looked,will look,willed look,looks,Medium,tenses,Regular verb,Think about future time.,,Tenses
tense-traveler,help,present,helps,will help,helping,helps,helped,Medium,tenses,Regular verb,Think about present time.,,Tenses
tense-traveler,cook,future,will cook,willed cook,will cook,cooks,cooking,Medium,tenses,Regular verb,Think about future time.,,Tenses
tense-traveler,clean,past,cleaned,cleans,will clean,cleaning,cleaned,Medium,tenses,Regular verb,Think about past time.,,Tenses
tense-traveler,wash,present,washes,washing,will wash,washed,washs,Medium,tenses,Ends in sh -> add es,Think about present time.,,Tenses
tense-traveler,watch,past,watched,will watch,watched,watching,watches,Medium,tenses,Ends in ch -> add es,Think about past time.,,Tenses
tense-traveler,kiss,present,kisses,kisses,will kiss,kissing,kissed,Medium,tenses,Ends in ss -> add es,Think about present time.,,Tenses
tense-traveler,fix,future,will fix,fixing,fixes,fixed,willed fix,Medium,tenses,Ends in x -> add es,Think about future time.,,Tenses
tense-traveler,go,present,goes,will go,went,gos,going,Medium,tenses,Irregular: go -> went,Think about present time.,,Tenses
tense-traveler,do,future,will do,willed do,doing,did,will do,Medium,tenses,Irregular: do -> did,Think about future time.,,Tenses
tense-traveler,have,present,has,has,haves,haveing,had,Medium,tenses,Irregular: have -> had,Think about present time.,,Tenses
tense-traveler,be,past,was,being,will be,is,was,Medium,tenses,Irregular: be -> was,Think about past time.,,Tenses
tense-traveler,eat,future,will eat,willed eat,ate,eats,eating,Medium,tenses,Irregular: eat -> ate,Think about future time.,,Tenses
tense-traveler,run,future,will run,runs,runing,will run,willed run,Medium,tenses,Irregular: run -> ran,Think about future time.,,Tenses
tense-traveler,see,future,will see,saw,willed see,will see,seeing,Medium,tenses,Irregular: see -> saw,Think about future time.,,Tenses
tense-traveler,come,past,came,came,comeing,comes,comeed,Medium,tenses,Irregular: come -> came,Think about past time.,,Tenses
tense-traveler,say,past,said,said,saying,will say,says,Medium,tenses,Irregular: say -> said,Think about past time.,,Tenses
tense-traveler,make,future,will make,makeing,made,willed make,makes,Medium,tenses,Irregular: make -> made,Think about future time.,,Tenses
tense-traveler,take,present,takes,takeing,takes,took,will take,Medium,tenses,Irregular: take -> took,Think about present time.,,Tenses
tense-traveler,get,future,will get,willed get,gets,geting,got,Medium,tenses,Irregular: get -> got,Think about future time.,,Tenses
tense-traveler,give,future,will give,giveing,willed give,will give,gives,Medium,tenses,Irregular: give -> gave,Think about future time.,,Tenses
