game_type,text1,text2,answer,option1,option2,option3,option4,difficulty,category,know_more,hint,image_url,topic
story-nebula,The Helpful Dragon,"Sparky was a small dragon who could not breathe fire. He could only breathe bubbles! The other dragons laughed at him. One day, a forest fire started near the village. The big dragons tried to stomp it out, but it was too hot. Sparky flew over the fire and blew thousands of giant wet bubbles. Pop! Pop! The bubbles burst and water splashed everywhere. The fire went out! The village was saved, and Sparky was a hero.",He couldn't breathe fire,He couldn't breathe fire,He was too small,He was green,He couldn't fly,Easy,comprehension,Why did they laugh?,Sparky was a small dragon who could not breathe fire.,dynamic:shape:heart,
story-nebula,The Helpful Dragon,"Sparky was a small dragon who could not breathe fire. He could only breathe bubbles! The other dragons laughed at him. One day, a forest fire started near the village. The big dragons tried to stomp it out, but it was too hot. Sparky flew over the fire and blew thousands of giant wet bubbles. Pop! Pop! The bubbles burst and water splashed everywhere. The fire went out! The village was saved, and Sparky was a hero.",Used wet bubbles,Used wet bubbles,Stomped on it,Blew wind,Called for help,Easy,comprehension,How did he stop the fire?,The bubbles burst and water splashed everywhere. The fire went out!,dynamic:shape:heart,
story-nebula,The Secret Key,"Lily found a rusty old key in her grandmother's attic. It had a shape of a heart on top. She tried it on the front door, but it didn't work. She tried it on her jewelry box, but it was too big. Then she saw a dusty wooden chest in the corner. She put the key in the lock and turned it. Click! The chest opened. Inside was a beautiful dress made of blue silk. It was her grandmother's favorite dress.",Attic,Attic,Basement,Garden,Kitchen,Easy,comprehension,Where was the key?,Lily found a rusty old key in her grandmother's attic.,dynamic:shape:circle,
story-nebula,The Secret Key,"Lily found a rusty old key in her grandmother's attic. It had a shape of a heart on top. She tried it on the front door, but it didn't work. She tried it on her jewelry box, but it was too big. Then she saw a dusty wooden chest in the corner. She put the key in the lock and turned it. Click! The chest opened. Inside was a beautiful dress made of blue silk. It was her grandmother's favorite dress.",Heart,Heart,Star,Square,Circle,Easy,comprehension,What shape was it?,It had a shape of a heart on top.,dynamic:shape:circle,
story-nebula,The Secret Key,"Lily found a rusty old key in her grandmother's attic. It had a shape of a heart on top. She tried it on the front door, but it didn't work. She tried it on her jewelry box, but it was too big. Then she saw a dusty wooden chest in the corner. She put the key in the lock and turned it. Click! The chest opened. Inside was a beautiful dress made of blue silk. It was her grandmother's favorite dress.",Blue silk dress,Blue silk dress,Gold coins,Old toys,Books,Easy,comprehension,What was inside?,Inside was a beautiful dress made of blue silk.,dynamic:shape:circle,
story-nebula,The Little Seed,"A little seed for me to sow\nA little earth to make it grow\nA little hole, a little pat,\nA little wish, and that is that,\nA little sun, a little shower,\nA little while - and then, a flower!","Earth, sun, and shower",Toys,Cars,"Earth, sun, and shower",Pizza,Easy,comprehension,What does the seed need to grow?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,The Little Seed,"A little seed for me to sow\nA little earth to make it grow\nA little hole, a little pat,\nA little wish, and that is that,\nA little sun, a little shower,\nA little while - and then, a flower!",A flower,A flower,A tree,A bush,A weed,Easy,comprehension,What grows from the seed?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,The Little Seed,"A little seed for me to sow\nA little earth to make it grow\nA little hole, a little pat,\nA little wish, and that is that,\nA little sun, a little shower,\nA little while - and then, a flower!",That is that,A surprise,That is that,A nap,A dance,Easy,comprehension,What happens after the wish?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,The Little Seed,"A little seed for me to sow\nA little earth to make it grow\nA little hole, a little pat,\nA little wish, and that is that,\nA little sun, a little shower,\nA little while - and then, a flower!",A little,A lot,A little,None,Too much,Easy,comprehension,How much sun is needed?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,The Little Seed,"A little seed for me to sow\nA little earth to make it grow\nA little hole, a little pat,\nA little wish, and that is that,\nA little sun, a little shower,\nA little while - and then, a flower!",Pat it,Dig it,Eat it,Pat it,Kick it,Easy,comprehension,What do you do to the earth?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,The Little Seed,"A little seed for me to sow\nA little earth to make it grow\nA little hole, a little pat,\nA little wish, and that is that,\nA little sun, a little shower,\nA little while - and then, a flower!",A little while,Forever,A year,A little while,A day,Easy,comprehension,How long does it take?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,The Little Seed,"A little seed for me to sow\nA little earth to make it grow\nA little hole, a little pat,\nA little wish, and that is that,\nA little sun, a little shower,\nA little while - and then, a flower!",A seed,A coin,A rock,A bead,A seed,Easy,comprehension,What is sown?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,The Little Seed,"A little seed for me to sow\nA little earth to make it grow\nA little hole, a little pat,\nA little wish, and that is that,\nA little sun, a little shower,\nA little while - and then, a flower!",AABBCC,None,AABBCC,ABCABC,ABABAB,Easy,comprehension,What is the rhyme scheme?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,My Shadow,"I have a little shadow that goes in and out with me,\nAnd what can be the use of him is more than I can see.\nHe is very, very like me from the heels up to the head;\nAnd I see him jump before me, when I jump into my bed.",My shadow,My cat,My friend,My dog,My shadow,Easy,comprehension,Who goes in and out?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,My Shadow,"I have a little shadow that goes in and out with me,\nAnd what can be the use of him is more than I can see.\nHe is very, very like me from the heels up to the head;\nAnd I see him jump before me, when I jump into my bed.",Very like me,Different,Tall,Scary,Very like me,Easy,comprehension,What is the shadow like?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,My Shadow,"I have a little shadow that goes in and out with me,\nAnd what can be the use of him is more than I can see.\nHe is very, very like me from the heels up to the head;\nAnd I see him jump before me, when I jump into my bed.",Into my bed,Into the pool,Into my bed,Into the car,Into the park,Easy,comprehension,When does he jump before me?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,My Shadow,"I have a little shadow that goes in and out with me,\nAnd what can be the use of him is more than I can see.\nHe is very, very like me from the heels up to the head;\nAnd I see him jump before me, when I jump into my bed.",Heels to head,Head to toe,Heels to head,Back to front,Toes to nose,Easy,comprehension,From where is he like me?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,My Shadow,"I have a little shadow that goes in and out with me,\nAnd what can be the use of him is more than I can see.\nHe is very, very like me from the heels up to the head;\nAnd I see him jump before me, when I jump into my bed.",More than I can see,None,To help,More than I can see,To play,Easy,comprehension,What is the use of him?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,My Shadow,"I have a little shadow that goes in and out with me,\nAnd what can be the use of him is more than I can see.\nHe is very, very like me from the heels up to the head;\nAnd I see him jump before me, when I jump into my bed.","No, goes in and out",Yes,"No, goes in and out",Sometimes,Maybe,Easy,comprehension,Does the shadow stay inside?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,My Shadow,"I have a little shadow that goes in and out with me,\nAnd what can be the use of him is more than I can see.\nHe is very, very like me from the heels up to the head;\nAnd I see him jump before me, when I jump into my bed.",The shadow,The dog,The shadow,The boy,The dad,Easy,comprehension,Who is 'He' in the poem?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,My Shadow,"I have a little shadow that goes in and out with me,\nAnd what can be the use of him is more than I can see.\nHe is very, very like me from the heels up to the head;\nAnd I see him jump before me, when I jump into my bed.",Bedtime,Morning,Bedtime,Lunch,School time,Easy,comprehension,What time is it likely?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,The Star,"Twinkle, twinkle, little star,\nHow I wonder what you are!\nUp above the world so high,\nLike a diamond in the sky.",Twinkling,Sleeping,Falling,Twinkling,Jump,Easy,comprehension,What is the star doing?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,The Star,"Twinkle, twinkle, little star,\nHow I wonder what you are!\nUp above the world so high,\nLike a diamond in the sky.",Up above the world,On the ground,Up above the world,In a box,In the sea,Easy,comprehension,Where is the star?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,The Star,"Twinkle, twinkle, little star,\nHow I wonder what you are!\nUp above the world so high,\nLike a diamond in the sky.",A diamond,A ruby,A pearl,A rock,A diamond,Easy,comprehension,What is it like?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,The Star,"Twinkle, twinkle, little star,\nHow I wonder what you are!\nUp above the world so high,\nLike a diamond in the sky.",What you are,What you are,Who you are,Where you go,Why you shine,Easy,comprehension,What does the poet wonder?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,The Star,"Twinkle, twinkle, little star,\nHow I wonder what you are!\nUp above the world so high,\nLike a diamond in the sky.","No, so high",Maybe,"No, so high",Yes,Sometimes,Easy,comprehension,Is the star low?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,The Star,"Twinkle, twinkle, little star,\nHow I wonder what you are!\nUp above the world so high,\nLike a diamond in the sky.",Diamond,Square,Triangle,Circle,Diamond,Easy,comprehension,What shape is mentioned?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,The Star,"Twinkle, twinkle, little star,\nHow I wonder what you are!\nUp above the world so high,\nLike a diamond in the sky.",At night,Afternoon,At night,Morning,Noon,Easy,comprehension,When do you see stars?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,The Star,"Twinkle, twinkle, little star,\nHow I wonder what you are!\nUp above the world so high,\nLike a diamond in the sky.","No, the star is",Yes,Maybe,"No, the star is",Both,Easy,comprehension,Is the world high?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,Rain,"The rain is raining all around,\nIt falls on field and tree,\nIt rains on the umbrellas here,\nAnd on the ships at sea.",All around,Only there,Only here,All around,Nowhere,Easy,comprehension,Where is it raining?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,Rain,"The rain is raining all around,\nIt falls on field and tree,\nIt rains on the umbrellas here,\nAnd on the ships at sea.",Field and tree,Houses,Dogs,Field and tree,Cars,Easy,comprehension,What does it fall on?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,Rain,"The rain is raining all around,\nIt falls on field and tree,\nIt rains on the umbrellas here,\nAnd on the ships at sea.",Umbrellas,Coats,Umbrellas,Hats,Boots,Easy,comprehension,What do people use?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,Rain,"The rain is raining all around,\nIt falls on field and tree,\nIt rains on the umbrellas here,\nAnd on the ships at sea.",At sea,At sea,In port,On land,In the sky,Easy,comprehension,Where are the ships?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,Rain,"The rain is raining all around,\nIt falls on field and tree,\nIt rains on the umbrellas here,\nAnd on the ships at sea.","No, it's raining",Maybe,Yes,"No, it's raining",Partly,Easy,comprehension,Is it dry?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,Rain,"The rain is raining all around,\nIt falls on field and tree,\nIt rains on the umbrellas here,\nAnd on the ships at sea.",Yes,No,Yes,Sometimes,Maybe,Easy,comprehension,Does it rain on trees?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,Rain,"The rain is raining all around,\nIt falls on field and tree,\nIt rains on the umbrellas here,\nAnd on the ships at sea.","No, all around","No, all around",Yes,Sort of,Maybe,Easy,comprehension,Is the rain local?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,Rain,"The rain is raining all around,\nIt falls on field and tree,\nIt rains on the umbrellas here,\nAnd on the ships at sea.",Rainy,Windy,Snowy,Sunny,Rainy,Easy,comprehension,What weather is it?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,The Cow,"The friendly cow all red and white,\nI love with all my heart:\nShe gives me cream with all her might,\nTo eat with apple-tart.",Red and white,Grey,Red and white,Brown,Black and white,Easy,comprehension,What color is the cow?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,The Cow,"The friendly cow all red and white,\nI love with all my heart:\nShe gives me cream with all her might,\nTo eat with apple-tart.",Loves her,Loves her,Scared,Hates her,Sad,Easy,comprehension,How does the poet feel?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,The Cow,"The friendly cow all red and white,\nI love with all my heart:\nShe gives me cream with all her might,\nTo eat with apple-tart.",Cream,Cheese,Milk,Butter,Cream,Easy,comprehension,What does she give?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,The Cow,"The friendly cow all red and white,\nI love with all my heart:\nShe gives me cream with all her might,\nTo eat with apple-tart.",Apple-tart,Pie,Apple-tart,Cake,Bread,Easy,comprehension,What do you eat with cream?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,The Cow,"The friendly cow all red and white,\nI love with all my heart:\nShe gives me cream with all her might,\nTo eat with apple-tart.","No, friendly",Sometimes,Yes,Maybe,"No, friendly",Easy,comprehension,Is the cow mean?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,The Cow,"The friendly cow all red and white,\nI love with all my heart:\nShe gives me cream with all her might,\nTo eat with apple-tart.",With all her might,Sadly,Slowly,Badly,With all her might,Easy,comprehension,How does she give cream?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,The Cow,"The friendly cow all red and white,\nI love with all my heart:\nShe gives me cream with all her might,\nTo eat with apple-tart.","No, a cow",Maybe,Sort of,Yes,"No, a cow",Easy,comprehension,Is it a pig?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,The Cow,"The friendly cow all red and white,\nI love with all my heart:\nShe gives me cream with all her might,\nTo eat with apple-tart.",Yes (cream),No,Maybe,Water,Yes (cream),Easy,comprehension,Does she give milk?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,Clouds,"White sheep, white sheep,\nOn a blue hill,\nWhen the wind stops,\nYou all stand still.\nWhen the wind blows,\nYou walk away slow.\nWhite sheep, white sheep,\nWhere do you go?",Clouds,Clouds,Real sheep,Dogs,Birds,Easy,comprehension,What are the white sheep?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,Clouds,"White sheep, white sheep,\nOn a blue hill,\nWhen the wind stops,\nYou all stand still.\nWhen the wind blows,\nYou walk away slow.\nWhite sheep, white sheep,\nWhere do you go?",The sky,The sky,A rug,The sea,A mountain,Easy,comprehension,What is the blue hill?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,Clouds,"White sheep, white sheep,\nOn a blue hill,\nWhen the wind stops,\nYou all stand still.\nWhen the wind blows,\nYou walk away slow.\nWhite sheep, white sheep,\nWhere do you go?",When wind stops,When wind stops,At night,When wind blows,Never,Easy,comprehension,When do they stand still?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,Clouds,"White sheep, white sheep,\nOn a blue hill,\nWhen the wind stops,\nYou all stand still.\nWhen the wind blows,\nYou walk away slow.\nWhite sheep, white sheep,\nWhere do you go?",Walk away slow,Walk away slow,Jump high,Sleep,Run fast,Easy,comprehension,What happens when wind blows?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,Clouds,"White sheep, white sheep,\nOn a blue hill,\nWhen the wind stops,\nYou all stand still.\nWhen the wind blows,\nYou walk away slow.\nWhite sheep, white sheep,\nWhere do you go?",Unknown,Home,Barn,School,Unknown,Easy,comprehension,Where do they go?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,Clouds,"White sheep, white sheep,\nOn a blue hill,\nWhen the wind stops,\nYou all stand still.\nWhen the wind blows,\nYou walk away slow.\nWhite sheep, white sheep,\nWhere do you go?",White,Blue,Grey,Black,White,Easy,comprehension,What color are they?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,Clouds,"White sheep, white sheep,\nOn a blue hill,\nWhen the wind stops,\nYou all stand still.\nWhen the wind blows,\nYou walk away slow.\nWhite sheep, white sheep,\nWhere do you go?","No, slow","No, slow",Yes,Very fast,Zoom,Easy,comprehension,Are they fast?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,Clouds,"White sheep, white sheep,\nOn a blue hill,\nWhen the wind stops,\nYou all stand still.\nWhen the wind blows,\nYou walk away slow.\nWhite sheep, white sheep,\nWhere do you go?",Likely (blue hill),Likely (blue hill),Night,No,Raining,Easy,comprehension,Is it a sunny day?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,Colors,"Blue is the ocean,\nGreen is the grass,\nYellow is the sunshine,\nSmooth as glass.",The ocean,The ocean,The car,The berry,The sky,Easy,comprehension,What is blue?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,Colors,"Blue is the ocean,\nGreen is the grass,\nYellow is the sunshine,\nSmooth as glass.",The grass,The frog,The grass,The tree,The leaf,Easy,comprehension,What is green?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,Colors,"Blue is the ocean,\nGreen is the grass,\nYellow is the sunshine,\nSmooth as glass.",The sunshine,The banana,The sunshine,The bus,The lemon,Easy,comprehension,What is yellow?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,Colors,"Blue is the ocean,\nGreen is the grass,\nYellow is the sunshine,\nSmooth as glass.",Glass,Rock,Glass,Wood,Sand,Easy,comprehension,What is smooth?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,Colors,"Blue is the ocean,\nGreen is the grass,\nYellow is the sunshine,\nSmooth as glass.","No, green",Purple,Maybe,"No, green",Yes,Easy,comprehension,Is the grass blue?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,Colors,"Blue is the ocean,\nGreen is the grass,\nYellow is the sunshine,\nSmooth as glass.","No, blue",Yes,Red,Maybe,"No, blue",Easy,comprehension,Is the ocean yellow?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,Colors,"Blue is the ocean,\nGreen is the grass,\nYellow is the sunshine,\nSmooth as glass.",Yellow,Warm,Yellow,Bright,Hot,Easy,comprehension,What describes sunshine?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,Colors,"Blue is the ocean,\nGreen is the grass,\nYellow is the sunshine,\nSmooth as glass.",Three,Five,Three,Four,Two,Easy,comprehension,How many colors mentioned?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,Time,"Sixty seconds make a minute,\nHow much good can I do in it?\nSixty minutes make an hour,\nAll the good that's in my power.",Sixty,Ten,Sixty,Fifty,Thirty,Easy,comprehension,How many seconds in a minute?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,Time,"Sixty seconds make a minute,\nHow much good can I do in it?\nSixty minutes make an hour,\nAll the good that's in my power.",Sixty minutes,Thirty minutes,Ten minutes,Fifty minutes,Sixty minutes,Easy,comprehension,What makes an hour?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,Time,"Sixty seconds make a minute,\nHow much good can I do in it?\nSixty minutes make an hour,\nAll the good that's in my power.",Good,Sleep,Good,Nothing,Bad,Easy,comprehension,What should I do in a minute?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,Time,"Sixty seconds make a minute,\nHow much good can I do in it?\nSixty minutes make an hour,\nAll the good that's in my power.",All in my power,Some,All in my power,None,Little,Easy,comprehension,How much good in an hour?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,Time,"Sixty seconds make a minute,\nHow much good can I do in it?\nSixty minutes make an hour,\nAll the good that's in my power.",60 seconds,60 seconds,Maybe,Yes,No,Easy,comprehension,Is a minute long?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,Time,"Sixty seconds make a minute,\nHow much good can I do in it?\nSixty minutes make an hour,\nAll the good that's in my power.","No, 60",Maybe,Yes,Close,"No, 60",Easy,comprehension,Is an hour 100 minutes?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,Time,"Sixty seconds make a minute,\nHow much good can I do in it?\nSixty minutes make an hour,\nAll the good that's in my power.",Time and doing good,Time and doing good,Food,Math,Sleep,Easy,comprehension,What is the theme?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,Time,"Sixty seconds make a minute,\nHow much good can I do in it?\nSixty minutes make an hour,\nAll the good that's in my power.",I (the poet),They,You,I (the poet),We,Easy,comprehension,Who is speaking?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,Snow,"Snow makes the world look new and clean,\nThe prettiest sight I've ever seen.\nIt covers up the dirt and grime,\nAnd makes the world a happy rhyme.",Make world new/clean,Make it hot,Make it wet,Make world new/clean,Make it dirty,Easy,comprehension,What does snow do?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,Snow,"Snow makes the world look new and clean,\nThe prettiest sight I've ever seen.\nIt covers up the dirt and grime,\nAnd makes the world a happy rhyme.",Prettiest sight,Dark,Scary,Prettiest sight,Ugly,Easy,comprehension,How does it look?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
story-nebula,Snow,"Snow makes the world look new and clean,\nThe prettiest sight I've ever seen.\nIt covers up the dirt and grime,\nAnd makes the world a happy rhyme.",Dirt and grime,People,Dirt and grime,Cars,Houses,Easy,comprehension,What does it cover?,Read the poem closely.,dynamic:shape:star,Poetry comprehension
