game_type,difficulty,text1,text2,answer,option1,option2,option3,option4,hint,know_more,grade,skill,cognitive_demand
classify-quest,Medium,"Which item belongs with copper, iron, and gold?",Join the group,silver,glass,cotton,silver,wood,All listed materials are metals.,"Silver belongs with copper, iron, and gold because all four are metals.",Grade 4,Classification,2-step
classify-quest,Medium,Which pair belongs to the same animal group?,Pair classification,frog and toad,lizard and butterfly,frog and toad,frog and eagle,toad and whale,Look for two amphibians.,Frogs and toads are amphibians.,Grade 4,Classification,2-step
classify-quest,Hard,A box is labelled 'objects that are both round and used in sports'. Which belongs in the box?,Two-condition classification,basketball,basketball,orange,coin,book,The item must satisfy BOTH conditions.,A basketball is round and is used in sports.,Grade 4,Classification,3-step
classify-quest,Hard,"Which item belongs in the group: 12, 18, 24, 30?",Rule classification,36,35,41,50,36,Find a number property shared by every item.,Each number is a multiple of 6; 36 is also a multiple of 6.,Grade 4,Classification,3-step
classify-quest,Hard,"Which word belongs with racecar, level, and civic?",Word property,madam,river,plant,madam,table,Read the words forwards and backwards.,"Racecar, level, civic, and madam are palindromes.",Grade 4,Classification,3-step
classify-quest,Hard,A set contains shapes with more than 3 sides but fewer than 6 sides. Which belongs?,Boundary classification,pentagon,circle,pentagon,triangle,hexagon,Count sides and apply both limits.,"A pentagon has 5 sides, which is more than 3 and fewer than 6.",Grade 4,Classification,3-step
classify-quest,Hard,"Which number belongs with 14, 28, 42, and 56?",Rule classification,70,70,63,75,82,Look for a common multiplication table.,All are multiples of 14; 70 is 14×5.,Grade 4,Classification,3-step
classify-quest,Hard,Which item belongs in 'living things that make their own food using sunlight'?,Scientific classification,green plant,mushroom,dog,rock,green plant,Think about photosynthesis.,Green plants make food using sunlight through photosynthesis.,Grade 4,Classification,3-step
classify-quest,Hard,Which choice belongs to BOTH 'has four equal sides' and 'has four right angles'?,Two-condition shape class,square,rectangle,trapezium,square,rhombus,Both shape properties must be true.,A square has four equal sides and four right angles.,Grade 4,Classification,3-step
classify-quest,Hard,"Which word belongs with unhappy, unfair, and unkind?",Word-structure classification,untidy,slowly,untidy,replay,careful,Look at the prefix shared by the words.,Each word starts with the prefix 'un-'; untidy does too.,Grade 4,Classification,3-step
classify-quest,Hard,"Which fraction belongs with 1/2, 2/4, and 3/6?",Equivalent-value class,4/8,4/8,4/6,5/8,3/8,All listed fractions have the same value.,1/2 = 2/4 = 3/6 = 4/8.,Grade 4,Classification,3-step
classify-quest,Hard,Which item belongs in a group defined as 'can fly AND is not a bird'?,Two-condition classification,butterfly,eagle,penguin,ostrich,butterfly,Check both conditions.,"A butterfly can fly and is an insect, not a bird.",Grade 4,Classification,3-step
