game_type,text1,text2,answer,option1,option2,option3,option4,difficulty,category,know_more,hint,image_url,topic
punctuation-pop,When does he run,question,?,!,",",?,.,Easy,punctuation,Questions end with a question mark.,It is a question.,,Punctuation
punctuation-pop,He reads in the park,statement,.,.,",",!,?,Easy,punctuation,Statements end with a period.,It is a statement.,,Punctuation
punctuation-pop,My mom walks slowly,statement,.,!,.,?,",",Easy,punctuation,Statements end with a period.,It is a statement.,,Punctuation
punctuation-pop,What a loud girl,exclamation,!,.,",",!,?,Easy,punctuation,Exclamations end with an exclamation mark!,It is a exclamation.,,Punctuation
punctuation-pop,The car eats a song,statement,.,!,.,",",?,Easy,punctuation,Statements end with a period.,It is a statement.,,Punctuation
punctuation-pop,Stop to school,command,!,!,?,.,",",Easy,punctuation,Commands often use exclamation marks.,It is a command.,,Punctuation
punctuation-pop,They runs a song,statement,.,?,",",.,!,Easy,punctuation,Statements end with a period.,It is a statement.,,Punctuation
punctuation-pop,How beautiful it is,exclamation,!,.,",",!,?,Easy,punctuation,Exclamations end with an exclamation mark!,It is a exclamation.,,Punctuation
punctuation-pop,Will he pizza,question,?,.,?,!,",",Easy,punctuation,Questions end with a question mark.,It is a question.,,Punctuation
punctuation-pop,Come slowly,command,!,?,",",!,.,Easy,punctuation,Commands often use exclamation marks.,It is a command.,,Punctuation
punctuation-pop,When are he jump,question,?,",",?,.,!,Easy,punctuation,Questions end with a question mark.,It is a question.,,Punctuation
punctuation-pop,What a scary it,exclamation,!,?,.,!,",",Easy,punctuation,Exclamations end with an exclamation mark!,It is a exclamation.,,Punctuation
punctuation-pop,Will the girl apples,question,?,!,",",.,?,Easy,punctuation,Questions end with a question mark.,It is a question.,,Punctuation
punctuation-pop,Come to school,command,!,.,",",!,?,Easy,punctuation,Commands often use exclamation marks.,It is a command.,,Punctuation
punctuation-pop,Look happily,command,!,.,?,!,",",Easy,punctuation,Commands often use exclamation marks.,It is a command.,,Punctuation
punctuation-pop,Go happily,command,!,.,?,!,",",Easy,punctuation,Commands often use exclamation marks.,It is a command.,,Punctuation
punctuation-pop,What a fast dad,exclamation,!,!,.,",",?,Easy,punctuation,Exclamations end with an exclamation mark!,It is a exclamation.,,Punctuation
punctuation-pop,What a scary dog,exclamation,!,?,",",.,!,Easy,punctuation,Exclamations end with an exclamation mark!,It is a exclamation.,,Punctuation
punctuation-pop,How scary the girl is,exclamation,!,!,?,.,",",Easy,punctuation,Exclamations end with an exclamation mark!,It is a exclamation.,,Punctuation
punctuation-pop,The girl shines a book,statement,.,?,",",!,.,Easy,punctuation,Statements end with a period.,It is a statement.,,Punctuation
punctuation-pop,Look fast,command,!,?,",",!,.,Easy,punctuation,Commands often use exclamation marks.,It is a command.,,Punctuation
punctuation-pop,What a great she,exclamation,!,.,!,?,",",Easy,punctuation,Exclamations end with an exclamation mark!,It is a exclamation.,,Punctuation
punctuation-pop,A bird reads happily,statement,.,!,",",?,.,Easy,punctuation,Statements end with a period.,It is a statement.,,Punctuation
punctuation-pop,Sit the ball,command,!,",",!,?,.,Easy,punctuation,Commands often use exclamation marks.,It is a command.,,Punctuation
punctuation-pop,Do the car in the park,question,?,!,",",.,?,Easy,punctuation,Questions end with a question mark.,It is a question.,,Punctuation
punctuation-pop,Stop at home,command,!,.,!,?,",",Easy,punctuation,Commands often use exclamation marks.,It is a command.,,Punctuation
punctuation-pop,My dad sings dinner,statement,.,!,?,.,",",Easy,punctuation,Statements end with a period.,It is a statement.,,Punctuation
punctuation-pop,How great my dad is,exclamation,!,.,",",?,!,Easy,punctuation,Exclamations end with an exclamation mark!,It is a exclamation.,,Punctuation
punctuation-pop,What a beautiful mom,exclamation,!,?,.,!,",",Easy,punctuation,Exclamations end with an exclamation mark!,It is a exclamation.,,Punctuation
punctuation-pop,When will the dog drive,question,?,?,!,",",.,Easy,punctuation,Questions end with a question mark.,It is a question.,,Punctuation
punctuation-pop,Can they a book,question,?,!,",",?,.,Easy,punctuation,Questions end with a question mark.,It is a question.,,Punctuation
punctuation-pop,Does she apples,question,?,",",.,!,?,Easy,punctuation,Questions end with a question mark.,It is a question.,,Punctuation
punctuation-pop,What a amazing boy,exclamation,!,",",?,.,!,Easy,punctuation,Exclamations end with an exclamation mark!,It is a exclamation.,,Punctuation
punctuation-pop,How amazing they is,exclamation,!,",",?,!,.,Easy,punctuation,Exclamations end with an exclamation mark!,It is a exclamation.,,Punctuation
punctuation-pop,Are the car loudly,question,?,.,!,",",?,Easy,punctuation,Questions end with a question mark.,It is a question.,,Punctuation
punctuation-pop,It runs pizza,statement,.,?,",",!,.,Easy,punctuation,Statements end with a period.,It is a statement.,,Punctuation
punctuation-pop,Help to school,command,!,?,!,.,",",Easy,punctuation,Commands often use exclamation marks.,It is a command.,,Punctuation
punctuation-pop,Can the dog a song,question,?,?,!,",",.,Easy,punctuation,Questions end with a question mark.,It is a question.,,Punctuation
punctuation-pop,What do the cat run,question,?,.,",",?,!,Easy,punctuation,Questions end with a question mark.,It is a question.,,Punctuation
punctuation-pop,The moon sings slowly,statement,.,",",!,?,.,Easy,punctuation,Statements end with a period.,It is a statement.,,Punctuation
punctuation-pop,The cat reads at home,statement,.,",",?,!,.,Easy,punctuation,Statements end with a period.,It is a statement.,,Punctuation
punctuation-pop,The girl shines happily,statement,.,!,.,",",?,Easy,punctuation,Statements end with a period.,It is a statement.,,Punctuation
