game_type,option1,text1,answer,know_more,num1,difficulty,operation,option2,option4,hint,image_url,num2,option3,topic
fraction-frenzy,1/5,Add the fractions: 6/8 + 2/8,8/8,"When denominators are same, just add numerators.",6/8,Medium,add,3/5,2/6,Add the top numbers.,dynamic:add:6:8:2:8,2/8,8/8,Fraction
fraction-frenzy,1/5,Add the fractions: 4/6 + 1/6,5/6,"When denominators are same, just add numerators.",4/6,Medium,add,8/10,5/6,Add the top numbers.,dynamic:add:4:6:1:6,1/6,2/10,Fraction
fraction-frenzy,9/10,Add the fractions: 2/6 + 1/6,3/6,"When denominators are same, just add numerators.",2/6,Medium,add,3/4,3/6,Add the top numbers.,dynamic:add:2:6:1:6,1/6,1/6,Fraction
fraction-frenzy,8/10,Simplify 2/4,1/2,Divide top and bottom by 2.,2/4,Hard,equivalent,1/2,2/7,What divides both 2 and 4?,,,4/8,Fraction
fraction-frenzy,4/5,Simplify 12/15,4/5,Divide top and bottom by 3.,12/15,Hard,equivalent,6/8,3/7,What divides both 12 and 15?,,,4/9,Fraction
fraction-frenzy,1/3,Simplify 12/20,3/5,Divide top and bottom by 4.,12/20,Hard,equivalent,3/5,4/10,What divides both 12 and 20?,,,1/4,Fraction
fraction-frenzy,3/4,Simplify 12/16,3/4,Divide top and bottom by 4.,12/16,Hard,equivalent,2/5,2/9,What divides both 12 and 16?,,,1/2,Fraction
fraction-frenzy,2/3,Simplify 8/12,2/3,Divide top and bottom by 4.,8/12,Hard,equivalent,2/10,3/7,What divides both 8 and 12?,,,4/9,Fraction
fraction-frenzy,2/9,Simplify 12/15,4/5,Divide top and bottom by 3.,12/15,Hard,equivalent,4/5,1/5,What divides both 12 and 15?,,,1/2,Fraction
fraction-frenzy,5/7,Simplify 9/15,3/5,Divide top and bottom by 3.,9/15,Hard,equivalent,6/10,3/5,What divides both 9 and 15?,,,8/10,Fraction
fraction-frenzy,2/6,Simplify 12/15,4/5,Divide top and bottom by 3.,12/15,Hard,equivalent,4/5,4/7,What divides both 12 and 15?,,,1/6,Fraction
fraction-frenzy,2/3,Simplify 4/20,1/5,Divide top and bottom by 4.,4/20,Hard,equivalent,6/9,1/5,What divides both 4 and 20?,,,5/8,Fraction
fraction-frenzy,2/5,Simplify 2/10,1/5,Divide top and bottom by 2.,2/10,Hard,equivalent,2/4,9/10,What divides both 2 and 10?,,,1/5,Fraction
fraction-frenzy,2/4,Simplify 6/12,2/4,Divide top and bottom by 3.,6/12,Hard,equivalent,3/5,7/8,What divides both 6 and 12?,,,9/10,Fraction
fraction-frenzy,1/5,Simplify 3/15,1/5,Divide top and bottom by 3.,3/15,Hard,equivalent,8/9,3/4,What divides both 3 and 15?,,,4/10,Fraction
fraction-frenzy,1/3,Simplify 4/12,1/3,Divide top and bottom by 4.,4/12,Hard,equivalent,6/7,4/5,What divides both 4 and 12?,,,7/10,Fraction
fraction-frenzy,5/9,Simplify 12/15,4/5,Divide top and bottom by 3.,12/15,Hard,equivalent,2/5,4/5,What divides both 12 and 15?,,,4/7,Fraction
fraction-frenzy,1/2,Simplify 12/20,3/5,Divide top and bottom by 4.,12/20,Hard,equivalent,3/5,1/9,What divides both 12 and 20?,,,8/9,Fraction
fraction-frenzy,5/10,Simplify 8/12,2/3,Divide top and bottom by 4.,8/12,Hard,equivalent,4/7,2/10,What divides both 8 and 12?,,,2/3,Fraction
fraction-frenzy,1/2,Simplify 2/4,1/2,Divide top and bottom by 2.,2/4,Hard,equivalent,4/10,7/9,What divides both 2 and 4?,,,8/9,Fraction
fraction-frenzy,2/9,Simplify 12/16,3/4,Divide top and bottom by 4.,12/16,Hard,equivalent,7/9,3/4,What divides both 12 and 16?,,,6/8,Fraction
fraction-frenzy,4/5,Simplify 16/20,4/5,Divide top and bottom by 4.,16/20,Hard,equivalent,3/5,5/7,What divides both 16 and 20?,,,2/5,Fraction
fraction-frenzy,2/10,Simplify 6/8,3/4,Divide top and bottom by 2.,6/8,Hard,equivalent,5/8,2/8,What divides both 6 and 8?,,,3/4,Fraction
