game_type,option1,text1,answer,know_more,num1,difficulty,operation,option2,option4,hint,image_url,num2,option3,topic
estimation-express,120,,110,Estimation helps checking answers!,19,Medium,+,110,100,Round 19 -> 20 and 94 -> 90,,94,80,
estimation-express,40,,40,Estimation helps checking answers!,80,Medium,-,50,60,Round 80 -> 80 and 44 -> 40,,44,30,
estimation-express,80,,80,Estimation helps checking answers!,19,Medium,+,110,90,Round 19 -> 20 and 56 -> 60,,56,70,
estimation-express,120,,100,Estimation helps checking answers!,16,Medium,+,130,100,Round 16 -> 20 and 84 -> 80,,84,110,
estimation-express,90,,70,Estimation helps checking answers!,62,Medium,+,70,40,Round 62 -> 60 and 12 -> 10,,12,100,
estimation-express,130,,120,Estimation helps checking answers!,24,Medium,*,120,150,Close to 20 x 5,,5,90,
estimation-express,130,,160,Estimation helps checking answers!,69,Medium,+,180,160,Round 69 -> 70 and 87 -> 90,,87,140,
estimation-express,40,,40,Estimation helps checking answers!,33,Medium,+,70,50,Round 33 -> 30 and 12 -> 10,,12,10,
estimation-express,60,,60,Estimation helps checking answers!,12,Medium,+,30,50,Round 12 -> 10 and 47 -> 50,,47,70,
estimation-express,50,,50,Estimation helps checking answers!,25,Medium,+,60,30,Round 25 -> 20 and 26 -> 30,,26,70,
estimation-express,30,,50,Estimation helps checking answers!,23,Medium,*,40,50,Close to 20 x 2,,2,70,
estimation-express,40,,50,Estimation helps checking answers!,64,Medium,-,70,80,Round 64 -> 60 and 18 -> 20,,18,50,
estimation-express,10,,30,Estimation helps checking answers!,13,Medium,*,40,50,Close to 10 x 2,,2,30,
estimation-express,60,,80,Estimation helps checking answers!,17,Medium,*,80,110,Close to 20 x 5,,5,90,
estimation-express,30,,30,Estimation helps checking answers!,13,Medium,*,50,60,Close to 10 x 2,,2,40,
estimation-express,20,,20,Estimation helps checking answers!,69,Medium,-,30,40,Round 69 -> 70 and 49 -> 50,,49,50,
estimation-express,60,,90,Estimation helps checking answers!,125,Medium,-,90,110,Round 125 -> 120 and 36 -> 40,,36,100,
estimation-express,20,,50,Estimation helps checking answers!,25,Medium,+,50,80,Round 25 -> 20 and 21 -> 20,,21,70,
estimation-express,80,,90,Estimation helps checking answers!,132,Medium,-,60,90,Round 132 -> 130 and 39 -> 40,,39,100,
estimation-express,100,,100,Estimation helps checking answers!,71,Medium,+,80,110,Round 71 -> 70 and 30 -> 30,,30,70,
estimation-express,80,,100,Estimation helps checking answers!,114,Medium,-,120,110,Round 114 -> 110 and 15 -> 20,,15,100,
estimation-express,50,,20,Estimation helps checking answers!,64,Medium,-,10,30,Round 64 -> 60 and 40 -> 40,,40,20,
estimation-express,50,,40,Estimation helps checking answers!,20,Medium,*,40,60,Close to 20 x 2,,2,20,
estimation-express,30,,60,Estimation helps checking answers!,99,Medium,-,90,60,Round 99 -> 100 and 43 -> 40,,43,50,
estimation-express,60,,80,Estimation helps checking answers!,29,Medium,+,90,80,Round 29 -> 30 and 54 -> 50,,54,70,
estimation-express,50,,30,Estimation helps checking answers!,17,Medium,*,30,40,Close to 20 x 2,,2,20,
estimation-express,90,,100,Estimation helps checking answers!,16,Medium,+,100,80,Round 16 -> 20 and 85 -> 80,,85,120,
estimation-express,30,,60,Estimation helps checking answers!,11,Medium,*,60,80,Close to 10 x 5,,5,90,
estimation-express,90,,100,Estimation helps checking answers!,141,Medium,-,120,100,Round 141 -> 140 and 43 -> 40,,43,80,
estimation-express,100,,70,Estimation helps checking answers!,18,Medium,*,70,50,Close to 20 x 4,,4,90,
estimation-express,120,,110,Estimation helps checking answers!,23,Medium,+,90,110,Round 23 -> 20 and 89 -> 90,,89,80,
estimation-express,100,,100,Estimation helps checking answers!,145,Medium,-,130,120,Round 145 -> 140 and 48 -> 50,,48,90,
