game_type,option1,text1,answer,know_more,num1,difficulty,operation,option2,option4,hint,image_url,num2,option3,topic
fraction-exam,one quarter,"1/4 in words is...",one quarter,"1/4 is one quarter.",1,Easy,identify,one third,two quarters,"Read as one over four.",,4,one half,
fraction-exam,two thirds,"2/3 in words is...",two thirds,"2/3 is two thirds.",2,Easy,identify,three seconds,one third,"Read as two over three.",,3,three thirds,
fraction-exam,three quarters,"3/4 in words is...",three quarters,"3/4 is three quarters.",3,Easy,identify,four thirds,one quarter,"Read as three over four.",,4,three thirds,
fraction-exam,1/5,"One fifth as a fraction is...",1/5,"One fifth is 1 over 5.",1,Easy,identify,5/1,2/5,"Write number 1 on top.",,5,1/2,
fraction-exam,3/8,"Three eighths as a fraction is...",3/8,"Three eighths is 3 over 8.",3,Easy,identify,8/3,1/3,"Write number 3 on top.",,8,3/3,
fraction-exam,>,"Compare shaded areas.",>,"1/2 is bigger than 1/4.",1/2,Medium,compare,<,=,"Which slice is bigger?",dynamic:compare:1:2:1:4,1/4,?,
fraction-exam,<,"Compare shaded areas.",<,"1/3 is smaller than 1/2.",1/3,Medium,compare,>,=,"Which slice is bigger?",dynamic:compare:1:3:1:2,1/2,?,
fraction-exam,=,"Compare shaded areas.",=,"2/4 is equal to 1/2.",2/4,Medium,compare,<,>,"Are they the same size?",dynamic:compare:2:4:1:2,1/2,?,
fraction-exam,2/5,"5 dresses. 2 are red. What fraction is red?",2/5,"Part over Total.",2,Medium,identify,3/5,1/2,"Red dresses / Total dresses.",,5,5/2,
fraction-exam,3/5,"5 dresses. 3 are yellow. What fraction is yellow?",3/5,"Part over Total.",3,Medium,identify,2/5,1/3,"Yellow dresses / Total dresses.",,5,5/3,
fraction-exam,1/2,"Identify the shape showing 1/2.",1/2,"Look for 1 out of 2 parts shaded.",1,Easy,identify,1/4,1/3,"Count parts.",dynamic:fraction:1:2,2,2/3,
fraction-exam,3/4,"Identify the shape showing 3/4.",3/4,"Look for 3 out of 4 parts shaded.",3,Easy,identify,1/4,2/3,"Count parts.",dynamic:fraction:3:4,4,1/2,
fraction-exam,Bigger,"If you cut a pizza into MORE slices, does each slice get...",Smaller,"More slices = smaller pieces.",0,Hard,identify,Smaller,Disappears,"More people to share with means less for each.",,0,Same size,
fraction-exam,3,"There are 12 eggs. 1/3 are cracked. How many are cracked?",4,"1/3 of 12 is 4.",12,Hard,identify,4,2,"Divide 12 by 3.",,3,6,
fraction-exam,3/8,"You have 8 slices of cake. You eat 3/8. What fraction is left?",5/8,"8/8 - 3/8 = 5/8.",8,Hard,identify,4/8,2/8,"Subtract 3 from 8.",,8,5/8,
fraction-exam,"Total parts","What does the top number (numerator) tell you?","Parts we have","Numerator counts the shaded parts.",0,Hard,identify,"Parts we have",Nothing,"It counts the parts we have.",,0,"Size of parts",
fraction-exam,1/4,"Which fraction is the LARGEST?",1/2,"1/2 is 50%, 1/4 is 25%.",1,Hard,identify,1/2,1/10,"Smaller bottom number means bigger pieces.",,2,1/8,
fraction-exam,2/5,"Which is smaller: 2/5 or 2/10?",2/10,"Tenths are smaller pieces than fifths.",2,Hard,identify,2/10,Neither,"Tenths are smaller than fifths.",,5,Equal,
fraction-exam,2/5,"Mom ate 1/5 of the pie. Dad ate 2/5. How much did they eat in total?",3/5,"1/5 + 2/5 = 3/5.",1,Hard,identify,3/5,1/5,"Add the top numbers.",,5,4/5,
fraction-exam,1/4,"A glass is 3/4 full. You drink 1/4. How much is left?",2/4,"3/4 - 1/4 = 2/4.",3,Hard,identify,2/4,Empty,"Subtract the top numbers.",,4,3/4,
fraction-exam,1/3,"Which fraction is equal to 1/2?",2/4,"2 is half of 4.",1,Hard,identify,2/4,2/3,"Top number is half of bottom number.",,2,3/5,
fraction-exam,4,"What is 4/4 equal to?",1,"A whole fraction equals 1.",4,Hard,identify,1,1/4,"If you have all the parts, you have the whole thing.",,4,0,
fraction-exam,2,"You have 10 coins. 1/2 are gold. How many are gold?",5,"Half of 10 is 5.",10,Hard,identify,5,1,"Divide 10 by 2.",,2,10,
fraction-exam,"10 mins","What is 1/4 of an hour (60 minutes)?","15 mins","60 / 4 = 15.",60,Hard,identify,"15 mins","30 mins","60 divided by 4.",,4,"20 mins",
fraction-exam,5,"What is 0/5?",0,"Zero parts means nothing.",0,Hard,identify,0,Impossible,"If you have zero parts, you have nothing.",,5,1,
fraction-exam,6/10,"A box has 6 red pens and 4 blue pens. What fraction are blue?",4/10,"Blue pens / Total pens (10).",4,Hard,identify,4/10,6/4,"Total pens is 6 + 4 = 10.",,10,4/6,
fraction-exam,"3 < 4","Why is 1/3 bigger than 1/4?","Thirds are bigger slices","Smaller denominator = bigger pieces.",1,Hard,identify,"3 > 4","Fourths are bigger slices","Imagine cutting a cake for 3 people vs 4 people.",,3,"Thirds are bigger slices",
fraction-exam,1/2,"If you share 1 cookie equally among 4 friends, how much does each get?",1/4,"1 divided by 4 is 1/4.",1,Hard,identify,1/4,"1 whole","Each person gets one piece out of four.",,4,4/1,
fraction-exam,Less,"Is 5/4 more or less than 1?",More,"Improper fraction > 1.",5,Hard,identify,More,Unknown,"The top is bigger than the bottom.",,4,Equal,
fraction-exam,1/4,"Tom ran 1/4 mile. Jerry ran 3/4 mile. How much further did Jerry run?",2/4,"3/4 - 1/4 = 2/4.",3,Hard,identify,2/4,4/4,"Subtract the smaller distance from the bigger distance.",,4,3/4,
fraction-exam,1/6,"1/3 + 1/3 = ?",2/3,"1+1=2, keep denominator same.",1,Hard,identify,2/3,1,"Add the numerators.",,3,2/6,
fraction-exam,5,"3/5 is made of how many 1/5s?",3,"There are three 1/5 parts.",3,Hard,identify,3,2,"Look at the numerator.",,5,1,
fraction-exam,$5,"A toy costs $20. You pay 1/2 of the price. How much do you pay?",$10,"Half of 20 is 10.",20,Hard,identify,$10,$20,"Divide 20 by 2.",,2,$15,
fraction-exam,"1 third","Which is the same amount as 2 quarters?","1 half","2/4 = 1/2.",2,Hard,identify,"1 half","1 eighth","2 quarters make half a dollar.",,4,"1 whole",
fraction-exam,1/3,"1 - 1/3 = ?",2/3,"3/3 - 1/3 = 2/3.",1,Hard,identify,2/3,3/3,"Think of 1 as 3/3.",,3,0,
fraction-exam,20,"A book has 100 pages. You read 1/10. How many pages did you read?",10,"1/10 of 100 is 10.",100,Hard,identify,10,100,"Remove one zero.",,10,50,
fraction-exam,3,"In 3/7, what is the denominator?",7,"Bottom number is denominator.",3,Hard,identify,7,4,"The bottom number.",,7,10,
fraction-exam,5,"If you have 1 1/2 apples, how many halves do you have?",3,"1 whole = 2 halves. 2 + 1 = 3.",1,Hard,identify,3,2,"Multiply whole number by bottom, add top.",,2,4,
fraction-exam,2/3,"Which is closer to 1 whole?",3/4,"3/4 (0.75) is bigger than 2/3 (0.66).",3,Hard,identify,3/4,Equal,"Convert to decimal or common denominator.",,4,2/3,
fraction-exam,3/6,"Reduce the fraction 6/12 to simplest form.",1/2,"Divide top and bottom by 6.",6,Hard,identify,1/2,2/4,"Find the biggest number that divides both.",,12,6/6,
fraction-exam,12,"What is 3/4 of 16?",12,"16 / 4 = 4. 4 * 3 = 12.",16,Hard,identify,12,8,"Divide by bottom, multiply by top.",,4,4,
fraction-exam,3,"You walk 1/2 mile to school and 1/2 mile back. How many miles in 3 days?",3,"(1/2 + 1/2) * 3 = 3.",1,Hard,identify,3,1.5,"1 mile per day.",,2,6,
fraction-exam,1/4,"If a quarter is 1/4 dollar, how many quarters in 2 dollars?",8,"4 quarters = $1. 4 * 2 = 8.",2,Hard,identify,8,4,"There are 4 quarters in one dollar.",,4,6,
fraction-exam,0.5,"Convert 1/2 to a decimal.",0.5,"1 divided by 2 is 0.5.",1,Hard,identify,0.5,0.2,"Think of 50 cents.",,2,1.2,
fraction-exam,5/10,"Which fraction is equivalent to 1/2?",50/100,"Both are half of the total.",1,Hard,identify,50/100,25/100,"Multiply top and bottom by the same number.",,2,1/5,
fraction-exam,1/5,"A pie is cut into 5 slices. You eat the whole pie. What fraction is left?",0/5,"5/5 - 5/5 = 0.",5,Hard,identify,0/5,1/5,"You ate everything!",,5,5/5,
fraction-exam,7/3,"Convert 2 1/3 to an improper fraction.",7/3,"2 * 3 + 1 = 7.",2,Hard,identify,7/3,5/3,"Whole * Bottom + Top.",,3,6/3,
fraction-exam,2,"10/5 is equal to which whole number?",2,"10 divided by 5 is 2.",10,Hard,identify,2,5,"Divide top by bottom.",,5,10,
fraction-exam,Less,"Is 1/3 greater or less than 1/2?",Less,"Sharing with 3 people gives less than sharing with 2.",1,Hard,identify,Less,Greater,"Bigger denominator means smaller parts.",,3,Equal,
fraction-exam,8,"I am a number. 1/4 of me is 2. What number am I?",8,"2 * 4 = 8.",2,Hard,identify,8,4,"Work backwards: multiply by the bottom number.",,4,6,
fraction-exam,1/8,"Which piece is smaller: 1/8 or 1/4?",1/8,"Cutting into 8 pieces makes them tiny.",1,Hard,identify,1/8,1/4,"Imagine 8 people sharing a pizza.",,8,Equal,
fraction-exam,15,"What is the numerator of 15/20?",15,"The top number.",15,Hard,identify,15,20,"Top number tells how many parts.",,20,5,
fraction-exam,1/2,"Mary has 4 cats. 2 are black. What fraction is NOT black?",2/4,"4 total - 2 black = 2 not black. 2/4 = 1/2.",2,Hard,identify,2/4,1/4,"Subtract black cats from total.",,4,3/4,
fraction-exam,1/10,"Which is the smallest?",0.01,"1/100 is smaller than 1/10.",1,Hard,identify,1/100,1/10,"More zeros after decimal point is smaller.",,10,1/1,
fraction-exam,4/4,"What fraction represents 1 whole day (24 hours)?",24/24,"Any number over itself is 1.",24,Hard,identify,24/24,12/24,"Total hours over total hours.",,24,1/24,
fraction-exam,9/10,"0.9 as a fraction is...",9/10,"9 in the tenths place.",0.9,Hard,identify,9/10,9/100,"One decimal place means over 10.",,10,1/9,
fraction-exam,11/4,"Change 11/4 to a mixed number.",2 3/4,"11 / 4 = 2 remainder 3.",11,Hard,identify,2 3/4,3 1/4,"How many times does 4 go into 11?",,4,2 1/4,
fraction-exam,100,"How many pennies in $1? (Fraction: 100/100)",100,"100 cents = 1 dollar.",100,Hard,identify,100,10,"A penny is 1/100 of a dollar.",,100,50,
fraction-exam,4/5,"Simplify 16/20.",4/5,"Divide both by 4.",16,Hard,identify,4/5,3/4,"Find the greatest common divisor.",,20,8/10,
fraction-exam,No,"Is 2/3 equal to 4/5?",No,"Cross multiply: 2*5=10, 3*4=12. Not equal.",2,Hard,identify,No,Yes,"Are the cross products equal?",,3,Maybe,
fraction-exam,3/2,"Which is an improper fraction?",3/2,"Top is bigger than bottom.",3,Hard,identify,3/2,2/3,"Top number > Bottom number.",,2,1/2,
fraction-exam,0,"If you multiply any fraction by 0, what do you get?",0,"Anything times 0 is 0.",1,Hard,identify,0,1,"Zero rule of multiplication.",,2,Infinity,
