game_type,text1,text2,answer,option1,option2,option3,option4,difficulty,category,know_more,hint,image_url,topic
word-class-warp,mysterious,adjective,adjective,noun,verb,adjective,adverb,Hard,parts-of-speech,Mysterious describes something. The mysterious box!,,
word-class-warp,communicate,verb,verb,noun,verb,adjective,adverb,Hard,parts-of-speech,Communicate is an action - something you DO with others!,,
word-class-warp,extremely,adverb,adverb,noun,verb,adjective,adverb,Hard,parts-of-speech,Extremely modifies adjectives/adverbs. Extremely fast!,,
word-class-warp,achievement,noun,noun,noun,verb,adjective,adverb,Hard,parts-of-speech,Achievement is a thing you earn - its a noun!,,
word-class-warp,brilliant,adjective,adjective,noun,verb,adjective,adverb,Hard,parts-of-speech,Brilliant describes someone/something. A brilliant idea!,,
punctuation-pop,What time is it,question,?,.,?,!,",",Easy,punctuation,Questions need question marks! They ask something.,,
punctuation-pop,I love ice cream,statement,.,.,?,!,",",Easy,punctuation,Statements (telling facts) end with periods.,,
punctuation-pop,Wow that is amazing,exclamation,!,.,?,!,",",Easy,punctuation,Exclamations show strong feelings! Use exclamation marks!,,
punctuation-pop,Where are you going,question,?,.,?,!,",",Easy,punctuation,Where When What Why How = question words need ?,,
punctuation-pop,Stop right there,command,!,.,?,!,",",Easy,punctuation,Commands can use ! for urgency or . for calm commands.,,
punctuation-pop,The cat sat on the mat,statement,.,.,?,!,",",Medium,punctuation,This tells us something happened - its a statement (.),,
punctuation-pop,How beautiful the sunset is,exclamation,!,.,?,!,",",Medium,punctuation,Strong emotion about beauty - use exclamation mark!,,
punctuation-pop,Can you help me please,question,?,.,?,!,",",Medium,punctuation,Asking for help = question. Needs ?,,
punctuation-pop,She said hello to me,statement,.,.,?,!,",",Medium,punctuation,Reporting what happened = statement. Ends with period.,,
punctuation-pop,What a wonderful day,exclamation,!,.,?,!,",",Medium,punctuation,What a... shows strong feeling = exclamation!,,
punctuation-pop,Have you finished your homework,question,?,.,?,!,",",Hard,punctuation,Have you...? Is asking - needs question mark!,,
punctuation-pop,I cannot believe it,exclamation,!,.,?,!,",",Hard,punctuation,Strong disbelief = strong emotion = exclamation!,,
punctuation-pop,The train leaves at noon,statement,.,.,?,!,",",Hard,punctuation,Giving information calmly = statement with period.,,
punctuation-pop,Watch out for that car,command,!,.,?,!,",",Hard,punctuation,Urgent warning command - exclamation mark!,,
punctuation-pop,Did she really say that,question,?,.,?,!,",",Hard,punctuation,Did she...? = question asking for yes/no answer.,,
tense-traveler,walk,past,walked,walk,walked,walks,will walk,Easy,tenses,Past tense adds -ED for regular verbs. Walk → Walked!,,
tense-traveler,walk,present,walks,walk,walked,walks,will walk,Easy,tenses,Present tense for he/she adds -S. He walks every day.,,
tense-traveler,walk,future,will walk,walk,walked,walks,will walk,Easy,tenses,Future tense uses WILL + verb. Will walk tomorrow.,,
tense-traveler,run,past,ran,run,ran,runs,will run,Easy,tenses,Run is irregular! Past = RAN not runned.,,
tense-traveler,run,present,runs,run,ran,runs,will run,Easy,tenses,He/She RUNS every morning. Add -S for present.,,
tense-traveler,eat,past,ate,eat,ate,eats,will eat,Medium,tenses,Eat is irregular. Past = ATE. Yesterday I ate pizza.,,
tense-traveler,eat,future,will eat,eat,ate,eats,will eat,Medium,tenses,Tomorrow I WILL EAT breakfast. WILL + base verb.,,
tense-traveler,write,past,wrote,write,wrote,writes,will write,Medium,tenses,Write → Wrote (past). Irregular verb!,,
tense-traveler,sing,past,sang,sing,sang,sings,will sing,Medium,tenses,Sing → Sang (past). She sang beautifully yesterday.,,
tense-traveler,swim,past,swam,swim,swam,swims,will swim,Medium,tenses,Swim → Swam (past). We swam in the pool.,,
tense-traveler,think,past,thought,think,thought,thinks,will think,Hard,tenses,Think → Thought. Irregular - memorize it!,,
tense-traveler,speak,past,spoke,speak,spoke,speaks,will speak,Hard,tenses,Speak → Spoke (past). He spoke to the class.,,
tense-traveler,bring,past,brought,bring,brought,brings,will bring,Hard,tenses,Bring → Brought. Similar to think → thought!,,
tense-traveler,teach,past,taught,teach,taught,teaches,will teach,Hard,tenses,Teach → Taught. The teacher taught math.,,
tense-traveler,catch,past,caught,catch,caught,catches,will catch,Hard,tenses,Catch → Caught. I caught the ball yesterday.,,
synonym-stars,happy,synonym,joyful,joyful,sad,angry,tired,Easy,vocabulary,Synonyms mean the SAME thing! Happy = Joyful.,,
synonym-stars,big,synonym,large,large,small,tiny,short,Easy,vocabulary,Big and Large mean the same - both describe size!,,
synonym-stars,fast,synonym,quick,quick,slow,lazy,heavy,Easy,vocabulary,Fast and Quick both mean speedy!,,
synonym-stars,smart,synonym,intelligent,intelligent,dumb,slow,weak,Easy,vocabulary,Smart = Intelligent = Clever. All mean brainy!,,
synonym-stars,beautiful,synonym,gorgeous,gorgeous,ugly,plain,dull,Easy,vocabulary,Beautiful and Gorgeous both mean very pretty!,,
synonym-stars,begin,synonym,start,start,end,finish,stop,Medium,vocabulary,Begin and Start mean the same - to commence!,,
synonym-stars,brave,synonym,courageous,courageous,scared,afraid,weak,Medium,vocabulary,Brave = Courageous = Fearless. Same meaning!,,
synonym-stars,calm,synonym,peaceful,peaceful,angry,wild,loud,Medium,vocabulary,Calm and Peaceful both mean tranquil and quiet.,,
synonym-stars,difficult,synonym,hard,hard,easy,simple,clear,Medium,vocabulary,Difficult = Hard = Challenging. Same meaning!,,
synonym-stars,enormous,synonym,huge,huge,tiny,small,little,Medium,vocabulary,Enormous = Huge = Gigantic. All mean very big!,,
synonym-stars,ancient,synonym,old,old,new,modern,young,Hard,vocabulary,Ancient means very very old - from long ago!,,
synonym-stars,purchase,synonym,buy,buy,sell,give,throw,Hard,vocabulary,Purchase is a fancy word for buy!,,
synonym-stars,vanish,synonym,disappear,disappear,appear,arrive,stay,Hard,vocabulary,Vanish = Disappear. Both mean go away suddenly!,,
synonym-stars,wealthy,synonym,rich,rich,poor,broke,needy,Hard,vocabulary,Wealthy = Rich = Affluent. Having lots of money!,,
synonym-stars,rapid,synonym,swift,swift,slow,lazy,still,Hard,vocabulary,Rapid = Swift = Fast = Quick. All mean speedy!,,
antonym-asteroids,happy,antonym,sad,sad,joyful,glad,pleased,Easy,vocabulary,Antonyms are OPPOSITES! Happy ↔ Sad.,,
antonym-asteroids,big,antonym,small,small,large,huge,giant,Easy,vocabulary,Big is the opposite of Small!,,
antonym-asteroids,fast,antonym,slow,slow,quick,rapid,swift,Easy,vocabulary,Fast ↔ Slow. Complete opposites!,,
antonym-asteroids,hot,antonym,cold,cold,warm,heated,burning,Easy,vocabulary,Hot and Cold are temperature opposites!,,
antonym-asteroids,light,antonym,dark,dark,bright,shiny,glowing,Easy,vocabulary,Light ↔ Dark. Day vs Night!,,
antonym-asteroids,old,antonym,new,new,ancient,aged,elderly,Medium,vocabulary,Old ↔ New. Ancient ↔ Modern.,,
antonym-asteroids,love,antonym,hate,hate,adore,like,cherish,Medium,vocabulary,Love is strong positive feeling. Hate is the opposite!,,
antonym-asteroids,begin,antonym,end,end,start,commence,initiate,Medium,vocabulary,Begin/Start ↔ End/Finish.,,
antonym-asteroids,easy,antonym,difficult,difficult,simple,effortless,basic,Medium,vocabulary,Easy ↔ Difficult/Hard.,,
antonym-asteroids,rich,antonym,poor,poor,wealthy,affluent,prosperous,Medium,vocabulary,Rich ↔ Poor. Having money vs not having money.,,
antonym-asteroids,brave,antonym,cowardly,cowardly,bold,fearless,heroic,Hard,vocabulary,Brave (facing fear) ↔ Cowardly (running from fear).,,
antonym-asteroids,smooth,antonym,rough,rough,silky,soft,gentle,Hard,vocabulary,Smooth ↔ Rough. Think of textures!,,
antonym-asteroids,ancient,antonym,modern,modern,old,aged,antique,Hard,vocabulary,Ancient (very old) ↔ Modern (current/new).,,
antonym-asteroids,generous,antonym,selfish,selfish,kind,giving,charitable,Hard,vocabulary,Generous (giving) ↔ Selfish (keeping for yourself).,,
antonym-asteroids,humble,antonym,proud,proud,modest,meek,shy,Hard,vocabulary,Humble (modest) ↔ Proud (thinking highly of self).,,
story-nebula,The Lost Puppy,Emma found a small puppy in the park. It was brown with white spots and looked hungry. She gave it her sandwich and the puppy wagged its tail.,In the park,In the park,At school,At home,In a store,Easy,Where did Emma find the puppy?,Read carefully! The story says in the park.,,
story-nebula,The Lost Puppy,Emma found a small puppy in the park. It was brown with white spots and looked hungry. She gave it her sandwich and the puppy wagged its tail.,Brown with white spots,Brown with white spots,Black,White,Gray,Easy,What color was the puppy?,Look for color words - brown with white spots!,,
story-nebula,The Lost Puppy,Emma found a small puppy in the park. It was brown with white spots and looked hungry. She gave it her sandwich and the puppy wagged its tail.,Her sandwich,Her sandwich,Water,A toy,Nothing,Easy,What did Emma give the puppy?,She GAVE it her sandwich - giving means sharing!,,
story-nebula,The Science Fair,Tom made a volcano for the science fair. He used baking soda and vinegar to make it erupt. Everyone clapped and he won second place.,A volcano,A volcano,Planets,Plants,Animals,Easy,What was Toms project?,His project was a VOLCANO that erupted!,,
story-nebula,The Science Fair,Tom made a volcano for the science fair. He used baking soda and vinegar to make it erupt. Everyone clapped and he won second place.,Baking soda and vinegar,Baking soda and vinegar,Water,Paint,Fire,Medium,What made it erupt?,Baking soda + vinegar = chemical reaction = eruption!,,
story-nebula,The Rainy Day,Sarah wanted to play outside but it was raining. She built a blanket fort with her brother. They read books until the rain stopped.,It was raining,It was raining,She was sick,Too hot,Had homework,Easy,Why couldnt Sarah play outside?,Look for the reason - IT WAS RAINING!,,
story-nebula,The Rainy Day,Sarah wanted to play outside but it was raining. She built a blanket fort with her brother. They read books until the rain stopped.,A blanket fort,A blanket fort,Treehouse,Puzzle,Snowman,Medium,What did Sarah build?,She BUILT a blanket fort - building with blankets!,,
story-nebula,The Rainy Day,Sarah wanted to play outside but it was raining. She built a blanket fort with her brother. They read books until the rain stopped.,Her brother,Her brother,Her mom,Her friend,No one,Medium,Who helped Sarah?,WITH her brother means he helped!,,
story-nebula,The Library Visit,Jake went to the library with his grandmother. He found a book about dinosaurs and the librarian helped him check it out.,The library,The library,The park,School,The store,Hard,Where did Jake go?,The first sentence tells us - the LIBRARY!,,
story-nebula,The Library Visit,Jake went to the library with his grandmother. He found a book about dinosaurs and the librarian helped him check it out.,Dinosaurs,Dinosaurs,Cars,Space,Dogs,Hard,What was the book about?,He found a book ABOUT DINOSAURS!,,
story-nebula,Birthday Cake,Mom baked a cake for Dads birthday. She used chocolate frosting. When Dad came home he was surprised and happy.,A cake,A cake,Cookies,Pie,Bread,Hard,What did Mom bake?,Mom BAKED a CAKE - look for the action and object!,,
story-nebula,Birthday Cake,Mom baked a cake for Dads birthday. She used chocolate frosting. When Dad came home he was surprised and happy.,Surprised and happy,Surprised and happy,Angry,Sad,Tired,Hard,How did Dad feel?,Look for feeling words - SURPRISED and HAPPY!,,
inference-investigator,Maria grabbed her umbrella before leaving the house.,What can you infer about the weather?,It might rain,Very hot,Snowing,Windy,,Easy,inference,Umbrella = expecting rain! Good inference!,,
inference-investigator,The boys eyes grew wide when he opened the present.,How did the boy feel?,Surprised or excited,Disappointed,Angry,Bored,,Easy,inference,Eyes growing wide = surprise or excitement!,,
inference-investigator,Sarah yawned and rubbed her eyes during the movie.,What can you infer about Sarah?,She was tired,Scared,Hungry,Cold,,Easy,inference,Yawning + rubbing eyes = signs of being tired!,,
inference-investigator,The dog wagged its tail and jumped when Tom came home.,How did the dog feel?,Happy to see Tom,Scared,Hungry,Sleepy,,Easy,inference,Wagging tail + jumping = dog is happy and excited!,,
inference-investigator,Mom put on her apron and took out flour and eggs.,What is Mom going to do?,Bake something,Go shopping,Clean,Watch TV,,Easy,inference,Apron + flour + eggs = baking ingredients!,,
inference-investigator,The students cheered when teacher said no homework.,How did students feel?,Happy,Sad,Confused,Angry,,Medium,inference,Cheering = celebrating = happy about no homework!,,
inference-investigator,Dad put on his coat and grabbed car keys.,What is Dad about to do?,Leave the house,Go to sleep,Eat dinner,Watch TV,,Medium,inference,Coat + car keys = going somewhere by car!,,
inference-investigator,The flowers were drooping and the soil was dry.,What do the flowers need?,Water,Sunlight,Fertilizer,Nothing,,Medium,inference,Drooping + dry soil = thirsty plants need water!,,
inference-investigator,Lisa smiled and hugged grandma at the airport.,How does Lisa feel?,Happy,Sad,Angry,Scared,,Medium,inference,Smiling + hugging = happy to see grandma!,,
inference-investigator,The baby cried when loud thunder boomed.,Why is the baby crying?,Thunder scared baby,Baby hungry,Baby tired,Baby hot,,Medium,inference,Loud sounds can scare babies - the thunder frightened the baby!,,
inference-investigator,Sam practiced piano two hours daily for a month.,What can you infer about Sam?,Wants to improve,Hates piano,Is lazy,No hobbies,,Hard,inference,Practicing a lot = dedicated = wants to get better!,,
inference-investigator,The bird built a nest and gathered twigs.,What is the bird preparing for?,Having baby birds,Winter,Storm,Moving,,Hard,inference,Nest building = preparing for eggs and baby birds!,,
inference-investigator,Everyone sang Happy Birthday to Emma.,What event is happening?,Birthday party,Wedding,Graduation,Concert,,Hard,inference,Happy Birthday song = birthday celebration!,,
inference-investigator,The doctor gave Amy a bandage for her knee.,What happened to Amy?,She hurt her knee,Has cold,Has fever,Is hungry,,Hard,inference,Bandage on knee = knee injury or scrape!,,
inference-investigator,Empty cookie jar sat on counter with crumbs.,What happened to cookies?,Someone ate them,In oven,Thrown away,Nothing,,Hard,inference,Empty jar + crumbs = cookies were eaten!,,
grammar-galaxy,The boy run to school every day.,Subject-Verb Agreement,runs,run,runs,ran,running,Easy,grammar,He/She/It needs -s! The boy RUNS.,,
grammar-galaxy,We was going to the park.,Subject-Verb Agreement,were,was,were,is,are,Easy,grammar,We is plural so use WERE not was!,,
grammar-galaxy,Her have a new book.,Pronoun,She,Her,She,His,Hers,Easy,grammar,Use SHE for subject. HER is for objects.,,
grammar-galaxy,Me and John went home.,Pronoun,John and I,Me and John,John and I,I and John,John and me,Medium,grammar,Always put the other person first! John and I.,,
grammar-galaxy,This is the most biggest house.,Comparative,biggest,most biggest,biggest,bigger,most big,Medium,grammar,Never use MOST with -EST! Just BIGGEST.,,
grammar-galaxy,Her and I are friends.,Pronoun,She,Her,She,Hers,Herself,Medium,grammar,SHE and I are friends. SHE for subjects!,,
grammar-galaxy,Neither of the boys are ready.,Subject-Verb Agreement,is,are,is,was,were,Hard,grammar,NEITHER is singular! Use IS not are.,,
grammar-galaxy,The data is inconsistent.,Subject-Verb Agreement,are,is,are,was,were,Hard,grammar,DATA is plural! Use ARE. Datum is singular.,,
grammar-galaxy,Me and her went shopping.,Pronoun,She and I,Me and her,She and I,Her and I,I and her,Hard,grammar,SHE and I went shopping. Subject pronouns!,,
word-class-warp,jump,verb,verb,noun,verb,adjective,adverb,Easy,parts-of-speech,Jump is an action - what you DO!,,
word-class-warp,happy,adjective,adjective,noun,verb,adjective,adverb,Easy,parts-of-speech,Happy describes feelings. A happy child!,,
word-class-warp,slowly,adverb,adverb,noun,verb,adjective,adverb,Easy,parts-of-speech,Slowly tells HOW. Walk slowly. -LY = adverb!,,
word-class-warp,teacher,noun,noun,noun,verb,adjective,adverb,Medium,parts-of-speech,Teacher is a person - that's a noun!,,
word-class-warp,bright,adjective,adjective,noun,verb,adjective,adverb,Medium,parts-of-speech,Bright describes light. A bright star!,,
word-class-warp,happily,adverb,adverb,noun,verb,adjective,adverb,Medium,parts-of-speech,Happily tells HOW you do something. -LY ending!,,
word-class-warp,imagination,noun,noun,noun,verb,adjective,adverb,Hard,parts-of-speech,Imagination is an idea/concept - abstract noun!,,
word-class-warp,fascinate,verb,verb,noun,verb,adjective,adverb,Hard,parts-of-speech,Fascinate is what interesting things DO to you!,,
word-class-warp,carefully,adverb,adverb,noun,verb,adjective,adverb,Hard,parts-of-speech,Carefully describes HOW. Drive carefully!,,
punctuation-pop,Come here right now,command,!,.,?,!,",",Easy,punctuation,Commands with urgency use exclamation marks!,,
punctuation-pop,I have a dog,statement,.,.,?,!,",",Easy,punctuation,Simple statement = period at the end!,,
punctuation-pop,Are you okay,question,?,.,?,!,",",Easy,punctuation,Asking if someone is okay = question mark!,,
punctuation-pop,Please sit down,command,.,.,?,!,",",Medium,punctuation,Polite command can use period for calm tone!,,
punctuation-pop,Which one do you want,question,?,.,?,!,",",Medium,punctuation,Which = question word needs question mark!,,
punctuation-pop,Look at that rainbow,exclamation,!,.,?,!,",",Medium,punctuation,Excitement about rainbow = exclamation!,,
punctuation-pop,Why did you do that,question,?,.,?,!,",",Hard,punctuation,Why = asking for reason = question mark!,,
punctuation-pop,That hurts so much,exclamation,!,.,?,!,",",Hard,punctuation,Expression of pain = strong feeling = exclamation!,,
punctuation-pop,The meeting starts at two,statement,.,.,?,!,",",Hard,punctuation,Stating a fact calmly = period!,,
tense-traveler,jump,past,jumped,jump,jumped,jumps,will jump,Easy,tenses,Past tense: add -ED. Jump → Jumped!,,
tense-traveler,play,present,plays,play,played,plays,will play,Easy,tenses,She/He PLAYS. Add -S for present with he/she/it!,,
tense-traveler,talk,future,will talk,talk,talked,talks,will talk,Easy,tenses,Future: WILL + verb. Will talk tomorrow!,,
tense-traveler,go,past,went,go,went,goes,will go,Medium,tenses,Go is irregular! Past = WENT not goed!,,
tense-traveler,make,past,made,make,made,makes,will make,Medium,tenses,Make → Made (past). Irregular verb!,,
tense-traveler,see,past,saw,see,saw,sees,will see,Medium,tenses,See → Saw (past). I saw a bird yesterday!,,
tense-traveler,fly,past,flew,fly,flew,flies,will fly,Hard,tenses,Fly → Flew. The bird flew away!,,
tense-traveler,buy,past,bought,buy,bought,buys,will buy,Hard,tenses,Buy → Bought. She bought milk yesterday!,,
tense-traveler,fight,past,fought,fight,fought,fights,will fight,Hard,tenses,Fight → Fought. They fought bravely!,,
synonym-stars,tiny,synonym,small,small,big,large,huge,Easy,vocabulary,Tiny and Small both mean very little!,,
synonym-stars,sad,synonym,unhappy,unhappy,happy,glad,joyful,Easy,vocabulary,Sad = Unhappy = Sorrowful. Same meaning!,,
synonym-stars,shout,synonym,yell,yell,whisper,quiet,silent,Easy,vocabulary,Shout and Yell both mean speak loudly!,,
synonym-stars,error,synonym,mistake,mistake,correct,right,perfect,Medium,vocabulary,Error = Mistake = Wrong. All mean not correct!,,
synonym-stars,sleepy,synonym,tired,tired,awake,alert,energetic,Medium,vocabulary,Sleepy = Tired = Drowsy. Need rest!,,
synonym-stars,scared,synonym,afraid,afraid,brave,bold,fearless,Medium,vocabulary,Scared = Afraid = Frightened. All mean fearful!,,
synonym-stars,complete,synonym,finish,finish,start,begin,commence,Hard,vocabulary,Complete = Finish = Conclude. All mean done!,,
synonym-stars,discover,synonym,find,find,lose,hide,miss,Hard,vocabulary,Discover = Find = Uncover. All mean locate!,,
synonym-stars,genuine,synonym,real,real,fake,false,phony,Hard,vocabulary,Genuine = Real = Authentic. Not fake!,,
antonym-asteroids,up,antonym,down,down,above,high,top,Easy,vocabulary,Up ↔ Down. Opposite directions!,,
antonym-asteroids,day,antonym,night,night,morning,afternoon,evening,Easy,vocabulary,Day (light) ↔ Night (dark)!,,
antonym-asteroids,happy,antonym,sad,sad,joyful,glad,cheerful,Easy,vocabulary,Happy ↔ Sad. Opposite emotions!,,
antonym-asteroids,empty,antonym,full,full,hollow,vacant,bare,Medium,vocabulary,Empty (nothing) ↔ Full (filled)!,,
antonym-asteroids,strong,antonym,weak,weak,powerful,mighty,sturdy,Medium,vocabulary,Strong ↔ Weak. Opposite strengths!,,
antonym-asteroids,friend,antonym,enemy,enemy,buddy,pal,companion,Medium,vocabulary,Friend (ally) ↔ Enemy (foe)!,,
antonym-asteroids,increase,antonym,decrease,decrease,grow,expand,enlarge,Hard,vocabulary,Increase (more) ↔ Decrease (less)!,,
antonym-asteroids,victory,antonym,defeat,defeat,win,triumph,success,Hard,vocabulary,Victory (win) ↔ Defeat (loss)!,,
antonym-asteroids,accept,antonym,reject,reject,receive,take,welcome,Hard,vocabulary,Accept (take) ↔ Reject (refuse)!,,
story-nebula,The New Pet,Maria wanted a pet. Her parents took her to the animal shelter. She chose a small orange kitten named Whiskers.,Animal shelter,Animal shelter,Pet store,Zoo,Park,Easy,Where did Maria get her pet?,The story says they went to the ANIMAL SHELTER!,,
story-nebula,The New Pet,Maria wanted a pet. Her parents took her to the animal shelter. She chose a small orange kitten named Whiskers.,Whiskers,Whiskers,Fluffy,Mittens,Shadow,Easy,What was the kitten's name?,The kitten's name is WHISKERS!,,
story-nebula,The New Pet,Maria wanted a pet. Her parents took her to the animal shelter. She chose a small orange kitten named Whiskers.,Orange,Orange,Black,White,Gray,Easy,What color was the kitten?,Look for the color word - ORANGE kitten!,,
story-nebula,The Garden,Tom planted tomato seeds in his garden. He watered them every day. After two months small red tomatoes grew.,Tomato,Tomato,Carrot,Lettuce,Corn,Medium,What did Tom plant?,He planted TOMATO seeds!,,
story-nebula,The Garden,Tom planted tomato seeds in his garden. He watered them every day. After two months small red tomatoes grew.,Every day,Every day,Once a week,Never,Sometimes,Medium,How often did Tom water?,The story says EVERY DAY!,,
story-nebula,The Garden,Tom planted tomato seeds in his garden. He watered them every day. After two months small red tomatoes grew.,Two months,Two months,One week,One month,Three months,Medium,How long until tomatoes grew?,AFTER TWO MONTHS they grew!,,
story-nebula,The Concert,Anna practiced violin for months. On concert night she played beautifully. The audience clapped for five minutes.,Violin,Violin,Piano,Guitar,Flute,Hard,What instrument did Anna play?,She practiced and played the VIOLIN!,,
story-nebula,The Concert,Anna practiced violin for months. On concert night she played beautifully. The audience clapped for five minutes.,For months,For months,One day,One week,One year,Hard,How long did Anna practice?,She practiced FOR MONTHS!,,
story-nebula,The Concert,Anna practiced violin for months. On concert night she played beautifully. The audience clapped for five minutes.,Five minutes,Five minutes,One minute,Ten minutes,Two minutes,Hard,How long did audience clap?,They clapped for FIVE MINUTES!,,
inference-investigator,Tom put on sunscreen before going outside.,Why did Tom use sunscreen?,Sunny day,Rainy,Snowing,Cloudy,,Easy,inference,Sunscreen protects from sun = sunny day expected!,,
inference-investigator,Mom turned on the heater.,What can you infer?,It was cold,Hot,Warm,Summer,,Easy,inference,Turning on heater = trying to warm up = cold!,,
inference-investigator,The kids wore costumes and went trick-or-treating.,What holiday is it?,Halloween,Halloween,Christmas,Easter,Birthday,Easy,inference,Costumes + trick-or-treating = Halloween!,,
inference-investigator,Dad packed suitcases and called a taxi.,What is Dad doing?,Going on trip,Staying home,Sleeping,Cooking,,Medium,inference,Packing + taxi = traveling somewhere!,,
inference-investigator,Students put books away when bell rang.,What time is it?,End of class,Start of class,Lunchtime,Morning,,Medium,inference,Putting books away at bell = class ending!,,
inference-investigator,The ice cream melted on the sidewalk.,What was the weather like?,Hot and sunny,Cold,Rainy,Windy,,Medium,inference,Ice cream melting = hot temperature outside!,,
inference-investigator,The library was quiet and everyone whispered.,Why are people whispering?,Library rules,Party time,Gym class,Recess,,Hard,inference,Libraries require quiet - that's why whispers!,,
inference-investigator,Chef tasted the soup and added more salt.,What was wrong with soup?,Not salty enough,Too salty,Too hot,Perfect,,Hard,inference,Adding salt = soup needed more salt flavor!,,
inference-investigator,Bird gathering worms in its beak repeatedly.,What is bird doing?,Feeding babies,Flying south,Building nest,Sleeping,,Hard,inference,Gathering food repeatedly = feeding baby birds!,,
word-wizard,The _____ kitten hid under the bed during the storm.,frightened means very scared,scared,scared,happy,angry,sleepy,Easy,vocabulary,Context clues: hiding during storm suggests fear,,
word-wizard,The teacher asked us to _____ the passage carefully before answering.,read with attention,examine,examine,ignore,skip,forget,Easy,vocabulary,Teachers want careful reading,,
word-wizard,After running the marathon he felt completely _____.,very tired,exhausted,exhausted,energetic,hungry,happy,Medium,vocabulary,Running 26 miles makes you very tired,,
word-wizard,The _____ explorers discovered a hidden cave in the mountains.,brave and ready for adventure,intrepid,intrepid,scared,tired,lost,Medium,vocabulary,Explorers who discover things are brave,,
word-wizard,Despite the _____ weather we decided to go hiking anyway.,bad or unpleasant,inclement,inclement,perfect,sunny,beautiful,Hard,vocabulary,Inclement means bad weather,,
word-wizard,Her _____ response surprised everyone in the meeting.,quick and witty,astute,astute,slow,boring,angry,Hard,vocabulary,Astute means clever and quick,,
root-raider,bio,biology biography,life,life,water,earth,fire,Easy,vocabulary,Bio = life. Biology = study of life,,
root-raider,aqua,aquarium aquatic,water,water,fire,earth,air,Easy,vocabulary,Aqua = water. Aquarium = water tank,,
